,sepcv001T1,sepcv002T0,sepcv003T0,sepcv004T0,sepcv005T0,sepcv006T0,sepcv007T1,sepcv008T1,sepcv009T1,sepcv010T0,sepcv011T0,sepcv012T1,sepcv013T1,sepcv015T1,sepcv016T1,sepcv017T0,sepcv018T1,sepcv019T0,sepcv020T0,sepcv021T0,sepcv022T0,sepcv023T1,sepcv024T1,sepcv026T0,sepcv027T0,sepcv028T1,sepcv029T1,sepcv030T1,sepcv031T1,sepcv032T1,sepcv033T1,sepcv034T1,sepcv036T0,sepcv037T0,sepcv039T1,sepcv040T1,sepcv041T2,sepcv042T0,sepcv043T1,sepcv044T0,sepcv045T1,sepcv047T1,sepcv048T1,sepcv049T1,sepcv050T1,sepcv051T1,sepcv052T1,sepcv053T1,sepcv054T1,sepcv055T1,sepcv056T1,sepcv057T1,sepcv058T1,sepcv059T1,sepcv060T1,sepcv061T1,sepcv062T1,sepcv063T1,sepcv065T0,sepcv066T1,sepcv067T1,sepcv068T1a,sepcv069T1,sepcv070T1,sepcv071T1,sepcv072T1,sepcv073T1,sepcv074T1,sepcv075T1,sepcv076T1,sepcv077T1,sepcv078T1,sepcv079T1,sepcv080T1,sepcv082T1,sepcv083T0,sepcv084T0,sepcv085T1,sepcv086T1,sepcv087T1,sepcv702W1,sepcv703W1
TP53,7.931528,8.731088,7.309443,7.503986,7.899369,7.494141,8.233468,8.250053,6.534137,8.634691,8.39378,7.645142,7.848152,7.261536,7.775975,7.843089,7.05469,7.434055,8.044316,7.777564,7.542275,7.347861,7.091886,8.216276,7.254627,7.945267,8.268935,8.261747,8.160899,8.132937,8.848588,7.304442,8.199898,7.710755,7.745717,7.286998,7.381139,6.923122,8.375205,8.462647,8.442756,7.856718,8.229243,7.857452,7.770306,8.074175,8.422732,6.912271,6.881987,8.10091,8.536957,8.565418,8.670624,8.179314,7.589376,7.712683,7.546427,7.283966,7.826179,8.336292,8.333111,7.671622,8.811164,8.422215,8.132682,9.109439,7.076292,8.21334,7.604734,7.610501,8.693988,7.749702,7.851159,8.056613,8.044948,8.084422,8.410537,7.336519,7.814673,7.552641,8.561689,8.579381
AKT1,9.072705,10.230458,9.240256,10.223395,9.578489,9.06294,9.447508,9.223302,9.193254,9.254039,10.295217,9.209814,9.72825,8.397443,10.454666,9.758292,9.672437,8.803464,9.313337,9.336487,9.262565,8.755774,10.110702,10.019539,9.670923,9.287418,9.386268,9.352949,10.12515,10.026994,9.359129,9.598166,8.930442,10.059646,9.976658,9.389779,9.185008,10.305845,10.064518,10.178307,9.002756,9.035248,9.32226,10.497154,9.774665,10.401552,9.104416,9.584488,8.341785,9.939483,9.140839,9.630255,9.715148,9.95951,9.583497,9.516189,9.71371,9.182716,9.288581,9.392835,9.776607,9.548204,10.442393,9.442634,9.938603,8.762154,9.422203,10.421328,10.931433,9.382977,9.492667,8.752805,9.916025,10.304975,10.04783,9.860294,10.012014,9.440977,8.880139,9.475023,10.037292,10.043413
PPOX,5.311848,6.862799,5.026291,5.390063,6.463934,5.341581,6.277873,7.766692,5.76934,6.034466,6.223764,5.189407,5.666153,4.854148,6.232953,6.897288,5.142114,6.437055,5.624506,5.993111,5.741271,5.363089,6.03609,6.112991,6.02516,5.891614,5.592975,7.217362,7.582539,6.855895,6.579559,6.516388,6.883478,6.435352,6.002469,6.563715,5.893919,7.388835,5.891292,6.135774,6.081875,5.108711,5.751531,5.928601,5.899311,5.896836,6.847175,5.099662,5.302736,5.872855,5.960787,6.723907,5.831244,6.248339,5.733765,5.850189,5.222637,4.823535,7.477799,6.278954,6.381488,5.614753,6.887014,6.038775,5.959523,7.414561,4.276883,6.303474,6.201448,7.150013,7.366808,5.945421,6.898097,5.672229,5.917377,6.735252,6.521731,5.719711,7.978242,5.962782,5.845276,6.811619
SLC27A3,7.609113,8.699528,6.51302,6.799284,7.631061,8.675925,7.721722,7.375096,7.252866,9.244274,8.676038,6.796214,7.319257,7.088653,7.377664,7.410794,9.368213,6.812144,8.13214,8.041467,7.408343,6.63163,8.312959,7.650605,5.611941,7.436282,9.380015,7.820335,8.461211,7.114423,7.538321,8.073358,7.665568,7.734777,8.49478,7.809568,7.462445,7.645259,7.872937,8.057032,8.507887,8.724055,7.123959,7.862902,8.313819,7.980968,7.785786,9.184416,6.679827,8.071185,8.52544,7.798951,7.760569,7.936608,8.979196,7.412898,7.190702,6.316337,6.879458,7.116675,8.271717,8.045639,8.419633,8.596788,8.176012,6.453554,7.830894,8.301659,7.594442,7.67133,9.189469,7.876252,7.862129,8.287338,7.815825,7.43989,7.980586,8.573391,6.771407,7.679988,9.147107,9.984262
SCCPDH,7.061992,7.049049,7.499082,8.00098,7.080158,6.804719,6.992809,6.67847,8.412454,6.559174,6.229529,7.711952,6.447201,8.080273,7.131778,7.047158,7.211663,7.740646,7.171243,6.729007,7.32533,7.728017,6.943587,6.392567,7.214209,6.516219,7.523546,6.65707,7.611742,7.685975,5.624658,6.831856,6.582984,7.367613,7.156687,7.029648,6.710113,6.264152,6.015091,6.61959,7.551231,7.40785,7.300388,7.240727,6.628235,6.104676,6.715559,6.375701,7.860923,6.774384,6.984757,6.502896,6.857728,6.713345,6.150168,6.643188,8.035559,7.489124,6.291779,6.260884,7.253001,7.087224,6.888265,6.459322,7.8278,6.802408,7.475127,6.941641,5.77682,6.4109,6.607099,7.422339,6.582086,6.347508,6.158856,6.08648,6.777395,6.365199,7.296605,7.448267,6.26475,6.487063
SFXN5,6.288636,7.837746,7.985061,8.273371,7.86487,7.978771,6.930529,6.822262,9.088899,6.493312,7.371995,7.87022,8.342517,9.013748,8.222058,7.105427,8.552122,8.110615,6.77375,8.581414,8.884216,8.344929,8.810915,7.67506,7.653529,7.193557,7.518343,7.271682,8.523752,7.605628,6.551925,7.927576,6.656682,8.539443,8.004881,7.743918,9.028472,7.656719,7.745433,7.745888,6.465931,7.304576,7.971782,8.26277,7.899997,8.11156,7.296603,9.387365,7.834034,8.008213,6.556756,6.400033,7.555331,8.540546,8.581133,8.393179,8.300618,8.930531,6.705905,7.325712,7.59388,9.5532,8.346023,6.782179,7.661183,6.910941,8.445271,7.715792,8.358254,7.508227,7.71368,7.396009,7.98317,8.185971,8.887111,7.670738,7.270759,7.670626,7.140313,8.343391,7.474122,7.884243
NDUFB9,7.857931,8.421609,8.438628,8.053839,8.440893,8.141682,8.596933,7.924383,10.062353,8.087599,8.427097,9.146703,8.101898,9.640773,8.042152,7.617283,8.594975,8.501307,8.177085,8.384031,8.899563,9.555306,8.787963,7.411974,9.216039,7.97131,8.157198,8.168337,7.909743,8.062322,8.084556,8.270025,8.315152,8.156921,8.933569,8.176949,8.869328,7.378823,7.680294,7.886777,8.025021,8.429955,7.778009,8.46386,7.915435,7.356482,8.562385,8.907447,9.21353,8.267423,7.988569,7.713268,8.041187,8.156972,8.282054,8.303841,9.177182,9.136826,8.11879,7.836299,8.207592,8.872911,8.76305,8.274062,8.210306,7.718083,8.20207,8.141272,7.770089,7.944845,9.008065,8.275304,8.192795,7.804492,8.284002,7.920431,7.767077,7.555808,8.501718,7.898708,8.092605,8.516793
STOM,11.283737,10.111176,12.577347,11.448578,11.926747,11.615736,11.723123,11.565184,13.31809,10.400276,9.422016,13.244723,11.751438,13.749521,10.127761,10.561198,11.941777,12.788668,10.545016,11.677494,12.610599,13.393426,12.273735,9.283975,13.19992,11.692778,10.977836,10.459097,10.973128,11.218857,9.039228,11.941827,11.943733,12.65974,9.743687,11.98998,12.799467,12.182335,8.964398,8.971404,10.106973,10.970785,9.77197,11.458131,11.383663,10.485043,10.440937,13.266792,13.950857,11.265979,10.318402,9.574539,10.239571,10.321268,11.743279,12.283349,12.206796,13.534668,12.011611,10.127344,10.56554,12.532067,10.406237,10.13887,10.446824,10.255867,12.92762,10.246703,9.974651,10.427587,11.419258,11.117646,11.148592,9.570239,11.279313,10.588463,10.122943,12.790998,12.549055,11.11825,9.844813,10.339397
PDSS1,6.061898,5.188801,8.547566,7.85863,5.369305,6.502439,5.788785,4.760249,8.354805,5.335415,4.772432,8.634363,5.620656,7.639424,6.724099,5.551272,6.256326,8.535416,5.80701,7.17159,6.141287,7.579691,6.557466,5.224848,8.156739,5.628693,5.483059,5.150749,4.94986,5.381125,4.946346,6.096473,6.406512,6.572093,4.948615,6.37209,6.572416,4.870287,5.454973,5.928322,5.456257,6.630962,6.363446,6.700207,5.261044,6.302773,5.53296,7.227509,8.251492,5.802307,5.019886,4.842752,5.682814,6.031695,6.37385,6.371246,7.371106,8.893803,4.832049,5.251492,6.477786,7.631157,5.004572,5.127258,6.661338,5.737663,7.138441,5.394579,5.155317,5.099117,5.306202,6.608072,6.105463,5.825691,5.551454,5.395033,5.626955,8.179657,5.96375,6.189754,5.023419,5.448011
FEZ1,3.381866,4.947837,3.008358,2.713797,4.580491,4.240747,2.369173,3.212912,2.596709,4.613836,3.848098,3.532438,4.090294,2.788525,4.011881,3.45989,2.557772,2.640653,4.952241,3.739319,2.627512,2.022569,3.197934,3.975299,4.449135,3.388948,4.991018,2.934181,3.268694,2.890845,4.07663,3.11721,3.077626,3.412022,3.313852,2.95288,2.771221,2.746145,5.086714,4.002423,3.443469,3.239892,4.161832,3.549677,3.340353,2.910502,3.617211,3.10815,2.855207,3.890847,5.843152,6.123769,5.319087,3.638348,2.40909,3.492432,3.372746,2.519088,2.970811,4.139643,3.289375,4.024888,3.394212,5.377557,2.975106,2.730099,2.938536,3.851867,3.897385,3.632692,5.169875,3.123038,4.252499,2.593252,3.353812,3.14969,5.209385,2.89017,2.698411,3.740983,4.441008,5.35229
