,sepcv001T1,sepcv002T0,sepcv003T0,sepcv004T0,sepcv005T0,sepcv006T0,sepcv007T1,sepcv008T1,sepcv009T1,sepcv010T0,sepcv011T0,sepcv012T1,sepcv013T1,sepcv015T1,sepcv016T1,sepcv017T0,sepcv018T1,sepcv019T0,sepcv020T0,sepcv021T0,sepcv022T0,sepcv023T1,sepcv024T1,sepcv026T0,sepcv027T0,sepcv028T1,sepcv029T1,sepcv030T1,sepcv031T1,sepcv032T1,sepcv033T1,sepcv034T1,sepcv036T0,sepcv037T0,sepcv039T1,sepcv040T1,sepcv041T2,sepcv042T0,sepcv043T1,sepcv044T0,sepcv045T1,sepcv047T1,sepcv048T1,sepcv049T1,sepcv050T1,sepcv051T1,sepcv052T1,sepcv053T1,sepcv054T1,sepcv055T1,sepcv056T1,sepcv057T1,sepcv058T1,sepcv059T1,sepcv060T1,sepcv061T1,sepcv062T1,sepcv063T1,sepcv065T0,sepcv066T1,sepcv067T1,sepcv068T1a,sepcv069T1,sepcv070T1,sepcv071T1,sepcv072T1,sepcv073T1,sepcv074T1,sepcv075T1,sepcv076T1,sepcv077T1,sepcv078T1,sepcv079T1,sepcv080T1,sepcv082T1,sepcv083T0,sepcv084T0,sepcv085T1,sepcv086T1,sepcv087T1,sepcv702W1,sepcv703W1
ATPSCKMT,5.660785,5.008549,6.270236,5.232227,5.925965,4.673518,4.936873,5.606487,6.035556,4.479077,5.013274,5.552299,5.234477,6.59452,5.393221,5.957553,5.128252,7.53194,6.098606,5.775863,5.556854,5.857443,5.99344,5.612748,5.091392,5.782063,4.88326,5.482858,5.582684,5.404616,5.481786,4.912045,5.216185,5.334147,5.140057,5.06797,6.776548,3.834235,5.506995,5.234019,4.979134,5.26509,5.736077,5.879842,5.183075,5.949338,5.395492,5.567121,7.817316,5.485238,4.833934,5.766195,5.369551,5.080892,5.164741,5.613196,5.398201,5.824104,5.436429,5.243678,6.096599,5.532143,4.521679,5.301998,5.850276,5.110782,6.575988,5.113692,4.870126,5.005161,3.919622,6.172581,5.236872,5.612942,5.092476,5.34924,4.851579,5.852238,5.935823,6.276247,5.014292,4.214114
TIMM8B,5.999437,5.269953,6.664923,5.883354,5.592032,6.306529,5.993174,6.020119,7.294087,5.746457,5.360676,6.61713,6.317012,7.247797,6.789884,6.207054,6.056411,6.325749,5.509886,5.862871,6.757342,6.432757,6.534777,5.69153,5.141871,5.630735,5.145142,5.154025,6.516995,6.341476,6.04391,6.59706,6.175191,5.947512,6.61922,6.244011,6.343685,6.374964,5.460069,5.81722,5.162484,6.483959,5.773475,5.7369,5.997527,5.691519,7.023131,5.102922,7.008908,5.846555,5.302153,5.089842,6.482793,5.849347,5.464314,5.668028,6.096665,6.41546,6.282377,5.648227,5.778136,5.256589,4.087689,5.283221,6.645064,4.465971,5.984445,6.090274,6.626333,6.872621,4.096175,6.775418,5.485975,6.442,5.772839,5.70696,5.847172,6.315046,6.210354,6.108493,5.009847,5.058343
NOCT,3.863743,3.902571,5.202324,5.640869,5.13388,4.670013,3.190396,4.099398,3.672559,3.584966,3.69921,4.601262,4.386833,3.42461,2.771838,3.288687,4.050144,4.468909,4.288427,3.199868,4.488671,5.189282,3.629982,3.687733,5.688734,5.58324,3.203868,4.218467,4.349045,3.523839,3.677053,4.21562,4.397729,4.408644,3.677244,4.506846,3.221409,3.444181,3.445148,4.121222,3.903258,4.169752,3.366932,3.585574,4.527825,3.839244,4.570135,2.323571,4.787216,4.652908,3.533427,3.26024,3.724684,3.927115,4.731936,4.241971,3.768082,4.07641,4.072183,3.539918,3.482599,3.334551,3.657871,3.798169,2.621095,3.566412,3.842567,3.390178,3.039839,3.620066,4.036816,4.616843,4.308374,3.587664,3.058367,3.743355,2.870031,4.402683,5.67271,3.674765,3.697008,3.542506
ME3,3.0051,4.29385,3.829956,3.322518,2.567739,4.245314,3.134919,3.293258,2.528575,3.817287,3.247763,3.098824,3.261602,3.184002,3.204206,4.213254,1.442558,3.573159,4.271907,3.143502,2.720587,3.134456,2.733531,3.177538,4.335871,3.786399,4.096442,3.593117,4.047368,2.798569,3.678231,2.248967,4.135158,2.541478,2.706812,3.381621,3.344713,2.665745,2.814116,3.078342,2.724161,3.7793,4.384194,4.595805,3.211183,3.696907,4.439606,1.442558,2.47957,3.430281,4.109946,4.571406,4.441558,2.210164,2.554022,3.583837,3.240917,3.37977,3.249808,3.454255,3.271414,3.04239,3.692388,4.497292,3.032199,3.113079,2.448618,3.08806,3.428431,3.551979,4.556958,3.77527,3.269167,2.822993,3.989169,4.170318,5.154099,2.560464,3.564709,2.674956,3.316057,4.700086
ATP5PF,7.59537,7.335654,7.886597,6.816317,7.144547,7.334215,7.824477,7.443824,8.144586,6.793244,7.047351,7.870024,7.164574,8.369181,7.369267,7.527974,7.789558,8.046448,7.005543,7.292373,7.556018,7.536145,7.989989,6.728566,7.234436,7.206682,6.680738,6.994383,7.466298,7.732096,7.353321,7.502109,8.043633,7.315002,8.056485,7.57102,7.542054,7.82897,7.040942,7.143618,6.704795,8.001122,7.095888,7.004732,6.994712,6.741047,8.176331,6.626847,8.416033,7.059522,6.777279,6.821251,7.208314,7.171969,6.911322,7.271345,7.509736,7.678596,8.226786,6.835532,7.341713,6.588186,6.064608,6.582626,7.632455,6.366471,7.625541,6.944917,7.480085,7.805244,6.065546,7.886635,6.846619,7.268441,6.860275,6.839494,6.734335,7.592647,7.115054,7.472965,6.474555,6.378939
XPC,8.233215,8.828117,7.970565,8.655404,8.43045,8.550422,8.280782,8.114587,7.939105,8.340906,8.519916,7.663597,8.985219,8.002289,8.710306,8.539771,9.211998,7.166891,8.165341,8.805586,8.492403,7.283102,9.110577,9.173207,7.773884,8.447055,8.451247,8.637823,8.776877,8.175431,8.362654,8.542901,8.112828,9.146783,8.753215,9.242507,8.614567,9.365679,9.280085,8.871452,8.545155,8.161116,8.134256,9.370794,8.91199,9.652262,7.843202,9.04548,7.37677,8.744548,8.750525,8.932749,8.881391,8.71736,9.045031,9.084974,8.752234,8.235912,8.438882,8.633789,8.274529,8.603008,9.118145,8.692649,8.680916,8.686406,8.932037,9.26613,10.057032,8.414011,8.651155,8.232684,9.0899,9.078961,8.922045,8.97953,8.800365,9.313163,7.902085,8.967606,8.771172,8.940308
CYP2U1,5.381718,4.620464,4.310746,4.80409,4.655392,5.021137,3.849982,5.920698,3.361908,6.037727,5.708161,4.460704,5.153142,4.279907,4.707091,6.576192,3.933897,4.772614,5.587921,5.113955,4.11749,4.197501,3.455372,6.019165,4.552153,5.111636,5.229956,5.296467,4.803132,5.534909,5.656468,4.402574,4.715372,5.366187,4.7178,4.667997,4.644751,5.095939,5.97186,5.430146,5.907456,4.463155,6.245429,3.889692,4.927933,4.843255,5.063969,4.317075,4.378487,4.791249,5.721671,6.299413,5.631721,4.655677,3.933927,5.128279,3.984791,4.616956,4.892404,6.085875,5.321352,4.873993,4.82926,5.862739,4.553256,7.699933,4.071895,5.021841,4.914384,4.786424,4.399521,4.981671,5.153488,4.306499,4.736179,5.897592,5.862199,4.697515,5.119829,5.151129,5.205282,5.513336
ATP5MJ,7.627281,8.154025,8.503344,8.124252,7.55887,7.772825,7.967405,7.261905,8.674657,7.173589,7.661241,8.561935,8.359299,9.413156,8.323641,7.756188,9.171164,8.55657,7.148176,8.369719,8.951759,8.799785,8.982016,6.861664,7.890971,7.482748,6.830553,7.681292,8.616484,8.322519,7.532623,8.339655,7.72975,7.728479,9.070909,8.211177,8.442031,7.838483,7.303649,7.547129,7.047027,8.136747,7.853403,7.478254,7.693413,7.1683,7.85225,7.72022,8.871215,7.783917,7.133843,6.924261,7.70044,8.082901,7.796965,8.243885,8.59595,8.817904,7.717432,7.765564,7.889901,7.692284,6.786632,6.687595,8.062953,6.745652,8.441817,7.616204,7.687213,7.999857,6.224136,8.105362,7.701917,8.16481,7.905583,7.564723,7.254136,8.354376,8.00779,8.135058,6.812405,6.883312
PPP2R2B,6.138657,5.583548,4.202268,4.838125,6.0467,5.504231,4.079003,5.643144,3.27897,6.541356,4.44652,4.681863,5.585104,3.90141,5.653244,6.242847,3.692632,4.708725,6.742377,5.773393,4.339349,4.053121,4.519787,5.731644,6.272488,5.301278,6.449289,3.991842,5.67311,5.138473,6.127862,4.045136,6.498473,3.627884,4.785656,4.424634,5.069149,3.944319,5.678065,5.063173,4.40023,4.3898,4.897668,3.150398,4.165691,5.217901,4.62717,4.035127,4.531416,4.176616,6.516542,7.672326,5.692029,5.301546,3.595412,4.593329,4.829497,4.210554,4.594493,6.198066,5.123992,4.719687,5.271789,6.869275,3.985233,4.672022,4.468581,5.382395,6.098263,5.268422,6.666303,5.87512,5.164645,3.971854,4.709439,5.834575,7.094555,4.028515,5.286101,4.865095,5.659101,6.630589
HKDC1,3.433195,2.593011,2.704461,4.296596,2.983847,4.672686,4.529441,4.852489,2.512653,3.861478,4.93014,3.183052,3.876422,2.687797,3.184723,4.783386,4.345692,2.552777,3.79064,3.555952,3.082249,3.667877,2.490577,5.018061,3.083567,4.668096,4.528075,3.997365,3.126232,4.467038,5.513459,3.862857,4.110766,3.504865,3.167465,3.957199,2.931973,4.131846,4.197314,2.928299,4.901246,2.483622,4.40939,3.382793,4.535056,2.799172,3.827079,3.756229,3.468514,3.983553,4.891815,4.808363,4.841934,4.40092,2.840932,4.50918,3.850664,3.883965,4.629632,5.119822,3.823358,2.895007,5.00995,3.842249,2.164089,3.094075,2.977116,4.387622,4.766421,2.91302,4.102218,2.910386,5.443393,2.805519,4.547783,5.982405,5.458132,5.18579,3.127883,3.883955,4.30821,4.286719
TOMM40L,6.87671,6.417954,7.176837,7.212547,7.32505,8.028898,6.647675,6.164007,7.416113,6.908518,6.35585,7.956315,6.461134,8.170919,6.805348,6.197494,8.059852,7.140263,6.720394,7.249421,7.270137,7.213004,7.35458,6.084242,8.536247,6.303392,7.567458,6.085663,6.44883,6.696217,6.110655,6.810561,7.587417,7.658266,7.081013,7.392126,7.352203,4.333216,5.757939,6.347876,6.536088,7.348656,7.125577,7.167637,6.340848,6.357138,7.151446,7.343406,7.041241,6.840815,6.773902,5.959021,7.203641,7.171109,7.13684,6.373619,7.167134,7.759907,6.402873,6.843065,6.913199,6.919418,6.645901,6.635409,6.512125,5.983278,7.277599,6.048605,6.36143,6.946176,7.638178,6.999103,6.905167,6.201856,7.314874,6.485808,6.700247,7.716648,6.3123,6.950132,6.379212,7.696676
THEM4,6.508166,6.18495,6.313127,6.752133,6.361679,7.303544,6.547556,7.395323,5.600627,6.904309,7.12514,6.433931,6.15703,4.80223,6.370918,7.556563,6.207066,6.0164,6.401961,6.15195,5.250522,7.360892,4.146641,7.793711,6.378638,7.075554,6.689371,6.50042,6.17135,6.484271,8.35575,5.736178,6.455403,5.660467,6.002196,5.583634,5.010041,6.147745,8.047795,7.124045,6.478984,6.66609,8.377747,5.841027,6.77013,7.062551,7.170001,5.869163,6.276103,6.540115,7.54215,8.414189,6.748343,6.69679,5.28922,6.38275,6.170163,6.559961,6.777586,7.980455,6.66213,5.993798,7.034739,7.106262,5.801087,7.465919,5.86895,6.564567,6.881586,6.504204,6.19377,6.851084,6.822815,5.694016,7.364989,8.531865,7.56195,6.696852,6.931493,6.655453,6.707962,7.261814
RDH13,4.945224,4.318454,3.676238,4.218141,4.611456,4.99145,3.904399,4.997157,3.540386,6.040376,4.796485,4.725199,4.82962,3.554538,4.484723,5.397346,3.920623,5.252292,5.388577,4.237734,4.762866,4.212608,2.827298,4.95579,3.928249,4.687115,5.014526,3.90662,4.352215,4.023668,4.705988,4.084401,5.330785,4.173328,5.166388,4.733516,3.7091,3.901161,5.199512,5.511635,4.702067,3.82787,4.439917,4.347141,5.102713,4.791592,5.165187,4.223118,4.037704,4.79688,5.570549,5.748017,5.638751,5.084817,4.049526,4.414478,4.558719,3.988192,3.821539,5.575849,5.255594,4.859151,5.459039,5.739761,4.156367,5.987879,4.219038,4.698732,5.613112,4.959566,5.181884,5.181383,5.037886,4.752295,4.929638,5.060384,5.70958,4.989322,4.315077,4.455267,4.515989,5.579596
HK3,10.13626,11.01291,11.983458,11.178251,11.870045,11.610589,11.48074,9.781219,14.056531,10.5664,10.245683,12.436442,12.60003,14.066093,11.412981,9.539796,12.480709,11.987224,10.373674,12.543787,13.27651,13.326604,13.26275,9.688921,12.708496,10.528316,11.383087,10.425386,11.299324,10.789781,9.506674,12.330043,11.466226,12.91383,11.40846,11.437541,13.480489,10.116703,10.139525,10.671553,10.506292,11.441891,11.002001,11.546112,11.100748,11.477937,10.268173,13.768408,12.668583,11.68733,9.847603,8.328893,11.16094,12.111138,12.615047,12.48071,12.427028,13.449074,10.367883,10.65722,11.110605,13.637801,11.342817,9.680414,10.94554,10.215872,12.801684,10.530027,10.981957,10.600279,11.48127,10.690811,10.764357,10.624854,12.163272,11.077508,10.247173,12.672592,10.502223,11.929866,10.594704,11.174599
FDXR,5.040183,5.641559,4.341451,3.349948,5.034752,4.774799,5.32896,4.887256,4.479804,5.756129,5.487917,3.749093,3.936904,4.306776,4.442145,4.457031,4.605764,4.898341,4.781699,4.942959,4.625226,4.904107,4.242217,5.432605,3.361976,4.227041,5.653477,4.971962,5.67132,4.902365,5.196052,5.042586,5.305022,5.174296,5.654353,4.702914,4.359545,4.923685,4.606993,4.628472,5.754385,5.299418,4.22922,4.373617,4.59747,5.100315,5.447097,5.385063,4.636673,4.40581,5.655829,5.792202,4.742893,5.42608,5.449441,5.201366,3.569714,3.77117,3.952723,4.689918,4.770989,4.869667,6.367365,5.688416,3.639182,5.197341,4.102053,5.890407,5.848324,5.296368,6.430965,5.07743,5.571991,4.309195,4.11972,5.251244,4.901783,4.081369,4.60474,5.0194,6.62566,6.42415
SLC25A45,6.18555,6.544687,6.319131,7.111598,7.024669,6.671122,6.529487,7.002187,7.156773,7.370472,7.100197,6.572014,6.682039,5.711735,6.490575,6.36629,6.29476,6.271685,6.291826,6.492891,6.677874,6.885503,6.365281,7.387292,6.512583,6.945116,6.727897,6.658192,7.158916,6.696837,7.769614,6.769395,6.746936,7.050993,6.67212,5.671315,6.573175,7.234939,7.252349,6.765717,6.909523,6.315993,7.463151,6.584994,7.04404,6.977593,7.144994,7.014799,6.251479,6.554953,6.601642,7.781672,6.923185,7.076424,6.470756,6.844049,7.206213,5.854927,6.082244,7.490683,6.369676,7.242671,7.956186,7.048644,6.710296,7.988293,6.13529,6.804767,7.81746,6.400314,7.611856,6.296584,7.423179,6.529361,7.06612,7.732199,7.714531,6.439697,6.185126,6.392039,6.954286,8.131614
ACP6,5.642277,5.555519,7.654836,7.305042,7.092234,7.373411,5.222841,5.717698,7.527627,6.308459,6.298026,6.490754,6.917242,7.018851,6.803652,5.903403,7.656365,6.879719,5.887274,6.275447,7.682758,6.823175,5.936993,6.394505,6.973422,6.46044,6.822538,6.097584,6.675967,6.359535,6.081565,6.790907,6.546144,6.806056,6.439631,5.694632,6.843956,6.316744,7.505084,6.175527,6.691756,6.000789,7.423621,6.71265,6.980987,6.335027,6.319501,6.184793,6.939874,4.905148,6.262724,5.176345,5.887445,6.588128,7.1862,5.914834,8.177128,7.491236,5.566284,6.654875,5.506576,6.665998,6.410079,5.741776,6.237086,5.697885,6.813889,5.772422,7.010636,6.716978,6.941373,5.494967,6.80818,6.13718,7.095049,7.388878,6.103036,6.454665,6.77538,6.664179,5.57042,6.498967
MRPS18C,7.091123,6.05278,7.281958,6.677368,6.303142,7.365251,6.46366,6.688104,7.156514,6.331223,5.820014,6.799706,6.866171,7.342871,7.094615,6.83874,7.565906,7.001675,6.543665,6.485758,7.247254,7.075654,6.173855,6.390337,6.292585,6.837567,6.393975,6.258599,6.598553,6.521386,6.489174,6.914621,7.324261,5.966043,6.803993,7.272472,6.642658,6.320675,6.546232,6.679834,6.787639,7.341581,6.914322,6.444925,6.320243,6.055772,6.915681,6.380441,7.709262,6.56761,6.813459,6.595735,6.322934,6.498622,6.106618,6.365267,7.037161,7.191869,6.496733,6.473206,6.514943,5.867124,5.131172,5.844099,6.559879,5.946239,7.173718,5.576561,6.516647,7.254076,4.514698,7.287838,6.07343,6.806608,6.621464,6.419578,6.043386,7.396448,6.940468,6.835649,6.080788,5.502471
PPM1K,9.413247,7.445592,7.334077,8.031912,8.321013,9.367312,7.985907,8.986833,6.782582,10.538786,8.439342,8.486089,7.653827,6.874826,7.698589,8.563269,10.393716,8.257229,9.716068,7.837495,7.092463,7.945343,6.19355,8.556487,8.334309,8.603035,10.545127,8.104076,7.617508,8.251522,9.112108,7.972509,8.748914,8.374739,7.558629,8.736068,7.002509,7.527123,8.703179,7.937328,8.894184,9.858532,8.95554,7.224768,8.398589,7.824715,8.465452,10.995275,8.485241,7.526276,10.063195,9.423601,8.23699,8.518738,7.333125,8.132987,7.382305,7.856624,8.202167,8.88557,8.336896,7.666981,8.017447,9.209397,7.847386,10.487312,7.721652,7.919439,8.00282,9.084413,9.631739,9.462345,7.773634,7.457054,7.698673,8.856063,8.494847,8.948556,8.872397,7.958451,9.251655,10.546959
UQCRQ,6.377767,6.104263,6.447153,6.375409,6.476867,6.950422,7.529247,6.7338,7.201146,6.447282,6.770355,6.781109,6.580297,7.240945,7.419343,6.545383,6.576422,6.460167,6.043679,6.43514,7.151099,6.851111,7.075203,5.790456,6.059498,6.307028,5.433388,5.753688,6.856601,6.899477,7.094918,6.9184,6.437426,6.29718,7.514177,6.188199,6.718144,6.266568,6.552326,7.0063,6.01114,7.084865,6.700376,6.150673,6.567107,6.143879,8.064097,5.753107,7.23065,6.349628,5.656455,5.980897,7.081284,7.003821,6.073637,6.539899,6.042803,6.044203,6.649641,6.207202,6.698462,5.906853,5.514691,5.807873,6.569211,5.231631,6.130588,6.921563,7.759432,7.275303,5.430334,7.220271,5.806763,6.784314,6.060976,6.353709,6.593356,6.112969,6.612603,6.586721,6.124873,5.815912
COX6C,7.420657,6.454163,7.430507,7.187913,5.778371,6.948607,6.917818,7.448722,7.604412,6.467349,5.858039,7.459226,7.031193,7.954373,7.342967,7.57562,6.611808,7.683025,6.452449,6.620479,6.936301,7.71,6.255659,6.375295,6.540063,7.036909,5.901006,6.365488,6.384746,6.916033,7.91837,7.174807,7.685808,5.84679,7.520823,7.320263,5.987538,6.143755,6.700818,7.212721,6.643885,7.934228,7.596997,6.880818,6.252771,5.744337,7.984673,5.251906,8.030358,6.649936,6.397741,7.03902,7.234746,7.046684,5.027983,6.103533,7.072886,7.480233,7.431786,7.129522,6.756884,5.392586,5.044443,5.984137,7.35295,6.303195,6.37571,6.78883,7.063424,7.480955,4.956377,7.917006,5.665706,7.137695,6.22436,6.763495,6.657825,6.519225,7.523147,6.868777,5.441239,5.519854
LETM2,6.806584,6.684031,5.474346,5.70516,6.675003,7.055073,5.917905,5.82435,6.230848,6.656089,6.283085,5.172034,5.316881,5.191498,6.339459,6.2981,8.15072,5.720842,7.128612,5.409878,5.907777,5.282849,6.062324,6.473617,4.822513,5.509645,6.959997,6.920956,5.0017,5.218849,4.551459,5.931559,4.601399,5.941401,7.288605,7.057284,5.28487,6.198828,6.949015,6.828391,5.328062,6.79888,5.633763,4.886832,7.0221,6.046465,5.865698,5.562335,5.716829,5.644485,7.321917,5.828261,5.647768,6.466108,6.404108,5.700364,4.388058,5.489728,5.322404,5.456338,5.780951,5.48697,6.611328,7.302908,4.874072,4.378236,5.643781,6.100816,6.309972,7.803491,5.868448,6.220688,6.543554,5.872001,5.417956,4.702783,5.644769,5.638268,5.371762,6.075335,8.116573,6.319592
PRDX3,9.480918,8.073703,9.702337,9.390808,9.01193,8.948795,9.014019,8.726093,9.483271,8.09423,8.924893,9.489508,9.385414,10.029469,9.505011,8.904093,8.928996,9.70656,9.177699,9.69307,9.372623,9.753907,9.746249,8.936138,8.936284,9.04794,8.574641,9.251709,8.681502,8.893446,8.557172,9.050895,8.45327,9.529858,8.354999,8.884257,9.95265,8.675808,8.536274,8.975937,8.636055,9.064835,8.936486,9.295015,8.913523,9.417254,8.348487,9.567705,9.874785,9.127951,8.244023,8.233337,8.822823,8.922689,9.305775,9.319083,9.543594,9.909818,8.873902,8.439206,9.130831,9.81857,8.334385,8.170982,9.18216,7.774719,9.909808,9.013769,8.891707,8.952658,7.994554,9.232522,8.411094,9.511871,9.383438,8.852354,8.598466,8.740187,9.023935,9.434736,8.697713,8.160807
MMADHC,9.685952,9.389184,10.275987,9.857372,9.670001,10.011587,9.988976,9.091218,10.64485,9.27394,8.89427,10.435721,10.279457,11.251112,9.476944,9.134912,11.142,10.273807,9.036361,9.939134,10.665081,10.452703,10.380028,8.990346,10.450854,9.382594,9.774093,9.216656,9.569653,9.417477,8.335482,10.001817,10.009617,10.374649,9.300137,10.297113,10.588662,9.933875,8.835329,9.130282,9.063481,9.807552,9.008852,9.974311,9.409228,9.515597,8.81869,11.049695,11.021847,9.715237,9.130454,8.534447,8.890635,9.884839,10.263632,10.13904,10.706333,11.136452,9.85654,9.157523,9.210971,10.623795,8.094772,8.801646,9.639818,8.706938,10.989567,9.055151,9.670265,9.568366,8.661776,9.680474,9.431144,9.081075,9.939829,9.142852,8.749362,10.552259,9.883892,9.83933,8.932363,8.802649
NDUFS5,7.228171,6.705131,7.920501,7.005758,6.43948,6.867658,7.355632,6.984054,7.987948,6.45111,6.496882,8.074973,7.358332,8.229756,7.51649,7.706288,6.96919,8.607239,6.023324,6.841522,7.177359,8.268524,6.859201,6.228918,7.522262,7.132812,5.907935,6.538615,7.051025,7.096337,7.844778,7.026455,7.239255,6.26494,7.88453,7.031535,6.958497,7.653703,6.99474,6.766145,6.848094,8.095629,7.905755,7.295855,6.165565,5.758848,8.406183,5.839615,8.616068,6.58496,6.327115,6.366576,7.47481,7.105649,6.218223,6.633096,7.060762,7.772796,7.256648,7.330776,6.876988,6.426159,5.100988,6.156111,6.743199,6.626955,6.358476,6.904836,7.342073,7.528165,5.200826,7.861568,6.834838,6.840336,6.302106,6.807769,6.536127,7.12649,7.569238,7.634281,5.761381,5.901444
MFF,8.32748,8.151864,9.498189,9.000729,8.494752,8.414602,8.864728,8.08758,9.968209,8.187985,8.046147,9.047876,9.086353,9.71494,8.54428,8.251895,9.915101,9.163302,8.394524,8.948424,9.065868,9.009956,9.661506,8.164099,9.212802,8.218151,8.377873,8.242465,8.291537,8.208984,7.82103,8.79166,8.75657,9.322201,8.602819,9.050846,9.519687,8.869216,7.954156,8.142132,7.991104,8.592605,8.14675,8.650479,8.251049,8.929948,8.169722,9.763801,9.30761,8.82115,8.501187,7.894809,8.228358,8.638413,8.946422,9.112749,9.31339,9.419902,8.576442,8.192363,8.329784,9.289651,7.871196,8.079113,8.390042,8.308825,9.555416,8.262501,8.398894,8.724536,8.017621,8.422517,8.57702,8.152031,8.852203,8.418904,8.442057,8.540925,8.507105,8.764885,8.019552,7.868642
FAM110B,4.298519,5.092202,5.154292,6.184985,4.798006,5.409394,5.458241,3.520562,6.506516,4.565578,4.118104,5.200531,4.280493,6.385325,4.854501,3.528819,5.145309,5.137695,4.199207,4.647731,4.551114,5.059648,5.843183,3.635833,5.800213,4.159341,4.900603,4.152232,4.231153,4.045828,3.496895,4.770691,5.870777,5.706016,4.168009,5.187012,6.201809,5.162793,2.298667,4.125463,3.307876,4.360081,3.568176,5.29789,4.270372,6.647049,3.665969,6.656581,6.080672,4.7958,2.624638,3.545931,4.226027,4.201848,5.492331,4.883073,5.644287,6.081411,3.712334,4.191105,4.655713,5.791248,4.74189,4.148842,4.892708,3.713237,6.125657,4.199413,5.193956,3.63897,3.752812,4.143216,4.652203,4.422761,5.067665,5.249501,4.808515,5.501924,3.710675,4.795184,3.853966,3.47009
CA5B,6.876093,7.230216,6.643885,6.816007,6.172311,6.246569,5.56851,6.887106,6.020771,7.389599,6.592775,6.6753,7.058065,5.943339,6.670979,7.614457,6.257707,6.195229,7.288648,7.479615,6.8425,6.43959,5.624773,7.207957,6.961339,6.874294,6.739799,6.869777,6.718453,6.986675,7.685493,5.477707,6.786355,7.05487,6.378178,6.539286,6.724833,6.906826,8.151149,7.514079,7.626517,6.057616,7.727575,6.804932,6.81105,6.970202,6.453416,6.295955,5.986005,6.337784,7.007909,8.168155,7.092929,6.530839,5.931232,6.933669,7.326054,6.931578,6.284391,8.098321,7.659757,6.788089,7.050776,7.022646,6.77976,6.353498,6.275929,7.524947,7.490264,7.31333,6.514729,7.005657,7.334368,6.723523,7.114235,7.674926,7.016858,6.582929,7.3891,7.307598,6.588359,7.056538
P2RY1,5.066254,3.150425,7.841969,5.851753,4.49282,3.662022,4.435513,4.316236,4.325598,3.984492,3.290819,4.634108,5.605375,5.336847,4.815425,4.303383,4.687628,5.687005,4.632681,5.66349,5.826368,6.891105,4.481923,4.219043,5.506355,3.749268,4.194635,4.144692,4.037754,3.477848,3.026169,4.033504,3.31903,4.994949,3.268344,5.235763,5.073611,5.443002,4.433007,4.70935,4.253176,4.340181,3.183288,4.890724,4.415073,5.178467,3.140121,4.448547,6.115294,3.911045,3.513329,3.623221,4.23561,3.241948,3.663798,4.887398,3.588431,5.819062,4.042124,4.317873,4.319174,4.92035,3.907248,4.205004,3.076569,2.924488,4.9131,3.825467,4.293287,4.788717,3.70423,4.305877,4.078378,4.539786,3.890855,4.861124,3.651802,5.355823,5.477231,5.4648,3.41526,3.333433
CHCHD7,7.457343,6.748926,8.548092,8.163772,6.627656,7.430502,7.126486,6.921856,9.259753,7.08128,6.916042,9.120462,7.005354,8.595607,7.919071,7.127359,7.790599,8.207912,7.119384,7.46294,7.309489,8.679368,7.17646,7.283749,8.126469,7.1854,6.871749,6.902854,6.847596,7.09029,7.213048,7.316004,7.55574,7.857878,7.281238,7.780637,8.127403,6.761683,7.088197,7.074225,6.737965,7.509871,8.033047,6.820648,6.829162,6.746381,7.278202,8.048286,8.217457,7.476434,7.18176,7.220263,7.084599,6.833857,7.108606,7.858689,8.367502,9.811053,7.044737,7.449319,7.360492,7.646311,6.439603,6.830245,8.036476,7.730619,8.429404,7.179592,6.995531,7.005194,6.243625,7.26557,6.900325,7.374808,7.431133,7.613776,7.28662,8.046594,7.406429,7.248438,7.143866,6.569696
GIMAP8,8.983213,10.706108,9.087894,10.598503,8.477193,8.96706,9.360768,9.320871,10.010322,9.395829,9.550628,8.934757,9.984752,9.41437,10.33349,9.746861,9.779325,7.97049,10.353671,10.733909,9.882733,8.847201,10.306179,9.668602,7.488152,9.141918,10.49625,10.155102,9.239492,9.133781,10.071696,8.482165,9.820779,10.269072,9.358033,9.402982,10.347818,10.012039,10.058068,10.264657,9.885585,9.648312,9.563747,10.101463,8.404276,10.562824,8.458216,10.754569,8.318059,9.967492,10.446804,9.606299,10.206051,8.697195,9.828636,9.943598,8.939863,9.938355,9.194009,9.607592,10.320245,9.543072,9.830425,9.756997,10.26811,6.946777,10.237849,10.258229,8.854339,9.000491,9.547471,8.638335,9.963385,10.644023,9.51343,9.762342,9.985458,10.78545,9.512822,10.431772,10.337812,9.591946
PRKCE,5.689413,5.219921,6.157594,6.528246,5.367198,6.555354,4.712755,5.529248,5.229205,6.75251,5.488326,5.087534,6.416881,4.102297,5.376722,5.597329,7.460791,5.497388,6.044065,6.485428,4.961986,5.543214,4.487534,5.350407,6.492189,5.058521,6.984078,5.482049,4.41285,5.384199,5.389446,5.396448,5.547079,6.251774,4.914675,6.530594,5.831931,8.35631,5.954292,6.394451,6.023983,6.299784,4.946117,6.405816,5.891731,6.207689,4.806202,7.990348,5.828849,4.958688,6.218549,6.068306,5.317857,5.971397,5.455147,5.334037,5.24,4.609981,5.049476,5.310043,5.193347,5.516871,5.616821,5.478427,5.450447,7.041645,4.891352,6.61519,8.361713,7.09807,6.090362,5.504551,5.722267,6.413931,5.174629,7.006739,5.309786,6.439721,5.858075,5.915224,6.078207,6.451748
