,sepcol001,sepcol002,sepcol003,sepcol004,sepcol005,sepcol006,sepcol007,sepcol008,sepcol009,sepcol010,sepcol012,sepcol014,sepcol015,sepcol016,sepcol017,sepcol018,sepcol019,sepcol020,sepcol021,sepcol022,sepcol024,sepcol025,sepcol026,sepcol027,sepcol028,sepcol032,sepcol034,sepcol040,sepcol044,sepcol045,sepcol046,sepcol049,sepcol050,sepcol055,sepcol056,sepcol058,sepcol059,sepcol060,sepcol061,sepcol062,sepcol063,sepcol064,sepcol065,sepcol067,sepcol069,sepcol070,sepcol071,sepcol073,sepcol075,sepcol077,sepcol082,sepcol086,sepcol087,sepcol089,sepcol091,sepcol092,sepcol093,sepcol094,sepcol096,sepcol097,sepcol103,sepcol104,sepcol105,sepcol106,sepcol108,sepcol109,sepcol110,sepnet0186,sepnet0344,sepnet0375,sepnet0537,sepnet0738,sepnet0904,sepnet1051,sepnet1093,sepnet1094,sepnet1140,sepnet1169,sepnet1170,sepnet1179a,sepnet1182,sepnet1183,sepnet1185,sepnet1191,sepnet1195,sepnet1196,sepnet1199,sepnet1201,sepnet1204,sepnet1205,sepnet1206,sepnet1209,sepnet1214a,sepnet1220,sepnet1221,sepnet1222,sepnet1230,sepnet1243,sepnet1244,sepnet1245,sepnet1251,sepnet1266,sepnet1267,sepnet1282,sepnet1283,sepnet1286,sepnet1287,sepnet1304,sepnet1310,sepnet1315,sepnet1317,sepnet1319,sepnet1323,sepnet1326,sepnet1329,sepnet1330,sepnet1331,sepnet1332,sepnet1335,sepnet1340,sepnet1344,sepnet1345,sepnet1347,sepnet1351,sepnet1355,sepnet1356,sepnet1359,sepnet1361,sepnet1362,sepnet1370,sepnet1375,sepnet1377,sepnet1378,sepnet1381,sepnet1385,sepnet1405,sepnet1406,sepnet1407,sepnet1409,sepnet1411,sepnet1413,sepnet1415,sepnet1416,sepnet1422,sepnet1425,sepnet1426,sepnet1440,sepnet1443,sepnet1447,sepnet1453,sepnet1493,sepnet155a,sepnet9001,sepnet9002,sepnet9003,sepnet9004,sepnet9005,sepnet9006,sepnet9007,sepnet9008,sepnet9009,sepnet9010,sepnet9011,sepnet9012,sepnet9013,sepnet9014,sepnet9015,sepnet9016,sepnet9017,sepnet9018,sepnet9019,sepvh006,sepvh019,sepvh024,sepvh029,sepvh033,sepvh037,sepvh040,sepvh043,sepvh044,sepvh047,sepvh050,sepwes003,sepwes006,sepwes007,sepwes008,sepwes009,sepwes010,sepwes011,sepwes012,sepwes013,sepwes014,sepwes015,sepwes016,sepwes017,sepwes018,sepwes019,sepwes020,sepwes021,sepwes023,sepwes024,sepwes025,sepwes026,sepwes027,sepwes029,sepwes030,sepwes031,sepwes032,sepwes033,sepwes034,sepwes036,sepwes038,sepwes039,sepwes040,sepwes041,sepwes043,sepwes044,sepwes046,sepwes047,sepwes049,sepwes051,sepwes052,sepwes056,sepwes058,sepwes059,sepwes060,sepwes061,sepwes062,sepwes063,sepwes064,sepwes065,sepwes066,sepwes067,sepwes068,sepwes069,sepwes070,sepwes071,sepwes072,sepwes073,sepwes074,sepwes076,sepwes077,sepwes080,sepwes082,sepwes083,sepwes084,sepwes086,sepwes087,sepwes089,sepwes090,sepwes091,sepwes092,sepwes095,sepwes096,sepwes097,sepwes098,sepwes099,sepwes101,sepwes102,sepwes103,sepwes104,sepwes105,sepwes106,sepwes110,sepwes111,sepwes112
CHDH,4.441764,3.741524,1.670709,3.868656,2.985242,2.837857,2.784906,1.670709,3.388682,2.831548,3.287736,3.180999,3.78318,1.670709,1.670709,2.879779,2.876536,3.170262,1.670709,2.986613,1.670709,2.856097,2.920245,1.670709,3.020985,3.16551,2.447189,3.180047,3.614772,4.274998,2.38923,4.262248,1.544922,1.786972,2.995657,2.426367,2.071751,2.49132,2.365866,2.746981,3.146746,4.035698,3.304202,2.907712,2.795157,3.096859,2.161995,2.411977,4.044932,3.620503,3.527921,3.093543,3.354998,3.722862,3.051412,2.680108,3.114229,3.460561,3.59059,2.590886,3.609803,3.081467,3.306339,2.654963,2.97604,2.548052,3.297957,3.593251,3.049228,1.544922,3.402932,2.893556,1.758191,1.758191,2.993076,1.544922,2.62283,1.544922,1.758191,1.544922,2.369065,1.758191,3.198083,2.922785,3.126274,1.544922,2.25115,2.593826,1.544922,1.758191,3.255493,2.59955,3.055384,1.758191,2.782329,4.39953,3.12004,1.758191,3.924494,2.788237,3.467933,2.660294,2.568115,3.645025,4.205696,3.832335,3.097678,1.758191,3.093221,2.92308,2.810594,2.646054,2.820104,3.148013,3.223921,3.034003,3.198066,1.758191,4.058547,1.544922,3.945563,1.758191,1.758191,1.758191,2.707496,2.760659,1.544922,1.758191,2.355372,3.764937,3.117402,3.25437,2.636864,4.702822,1.758191,1.758191,1.544922,3.105056,3.342279,3.046345,3.425651,1.758191,3.690698,3.258766,2.603635,3.484832,2.909113,3.082728,3.52466,3.168201,2.876583,2.987248,1.758191,1.758191,3.369606,5.568478,2.639049,1.758191,1.758191,2.91873,3.13748,3.347625,2.870462,2.810002,3.190635,2.992905,2.956224,2.785779,1.758191,1.758191,3.867628,1.544922,1.544922,3.424,2.538647,3.001229,3.709373,2.50636,2.490866,4.400151,1.544922,3.561338,1.851298,3.008461,1.851298,3.259277,5.195817,4.43562,2.854492,1.851298,3.324106,3.899143,1.851298,3.236069,3.050025,2.634908,3.214679,1.851298,1.851298,3.281353,3.357538,1.851298,1.851298,1.851298,4.851014,1.851298,1.851298,2.98731,1.851298,1.851298,2.606006,3.7011,3.689768,2.636669,1.851298,3.171664,1.851298,1.851298,3.431203,3.561589,1.851298,3.392181,3.362226,1.851298,3.427412,1.851298,4.738943,3.572602,2.063862,3.770647,1.851298,2.456267,3.745245,3.513625,2.76032,1.851298,1.851298,1.851298,2.752052,3.433737,3.448808,1.851298,3.611957,3.061192,3.223049,3.26293,3.676814,2.994854,3.362517,1.851298,3.113954,1.851298,4.500285,3.42375,3.146593,2.844718,2.063862,1.851298,1.851298,1.851298,3.567525,3.192454,3.837687,2.699572,2.733606,2.931386
SLC44A1,9.404911,9.265274,8.699725,8.311754,8.402774,9.095698,7.873161,8.73577,7.555601,8.123814,7.891562,8.55657,8.126943,8.267349,8.59205,7.877968,7.147645,8.003071,7.382395,8.53095,9.266323,7.752205,8.035918,8.118409,8.193369,8.375605,8.175236,9.913899,9.323745,7.687847,7.70922,8.490555,7.637988,7.964332,7.62542,7.394053,9.140826,8.184499,8.348887,8.040048,8.233708,9.070579,9.852219,7.835415,9.422676,8.37871,7.791175,7.794105,9.232867,7.69819,7.46309,8.104739,8.429643,8.804013,7.498692,7.202995,7.143486,6.927169,7.209887,7.462928,9.01095,9.163697,9.623994,8.107791,9.044636,7.660686,8.870647,9.004044,7.600039,7.602706,7.709187,8.15719,7.317564,8.161748,7.778921,9.215533,8.326842,8.518057,9.168447,7.809019,8.753803,7.509861,8.86584,8.28944,6.979277,8.541591,8.188739,8.22851,8.787821,7.329126,8.926208,7.910499,7.921774,8.39463,7.897797,9.267177,8.183474,7.798184,7.79763,8.694384,8.491486,8.808082,8.580935,8.886217,8.465257,8.155265,8.474408,8.948258,8.364347,7.984808,8.171423,7.945154,8.777483,8.200293,8.246746,8.57221,7.7716,8.539138,8.259143,7.543812,8.262577,7.78148,8.146737,7.17272,8.421671,8.018792,7.687042,7.614457,9.092224,7.560929,7.652236,8.351981,8.536317,8.873469,8.843863,9.042654,7.820596,8.228539,7.99654,8.256102,7.318164,7.635833,7.586194,8.40903,7.772147,8.645233,8.426929,8.480393,8.503183,8.543776,7.834657,7.861691,8.536834,8.589672,9.148442,9.83848,8.840079,8.438737,9.184301,8.613437,8.243796,8.189201,8.486501,9.107165,8.410999,7.172121,8.365653,9.329736,8.119948,7.065707,7.959121,8.012447,8.368924,7.911729,8.952566,8.979093,8.248829,8.062022,8.17307,9.163433,7.969451,7.792771,9.172324,8.740094,8.805129,7.804664,7.197494,9.176468,8.458548,8.033674,8.774676,8.129005,8.618854,8.393124,8.602007,8.011673,8.734962,8.842018,8.478985,8.382149,7.566042,7.883864,9.451567,8.613704,9.70017,7.812487,7.107444,8.352761,8.341319,8.493324,7.61951,8.430483,7.507436,7.818592,8.442166,8.138554,7.4425,8.469593,8.77655,7.521672,7.799379,7.71505,8.335685,7.497949,9.766275,9.778531,8.798754,7.464801,6.9955,8.258993,8.073214,8.060578,8.392784,7.664472,7.776978,8.573103,8.012429,8.266432,7.802688,8.657527,7.211661,7.920962,8.045391,8.925455,7.282513,8.605023,9.009518,8.366307,8.713417,8.136508,8.853493,8.454699,8.478418,8.97859,8.731988,8.427635,7.957899,8.661368,8.641443,8.864185,8.316429,7.967403,7.9251,7.562472,8.02274,8.091206
ARG2,3.566476,5.483071,5.335442,4.599661,4.172287,5.762558,3.632542,5.384816,4.333244,4.202432,4.805597,5.347999,2.799743,8.02564,4.029151,1.786926,4.404837,4.822936,3.974333,4.174446,1.786926,3.610847,4.22125,3.497964,4.530561,5.029497,3.708352,4.730956,4.254205,6.19766,3.253276,3.492477,3.403517,4.783141,3.630061,4.813039,3.853092,3.650217,4.410281,3.977683,3.686194,4.819329,5.126603,4.126227,3.613713,4.595792,4.376678,3.79336,4.42267,4.494853,3.907524,3.648603,4.377715,3.655513,3.82419,3.182162,3.437396,4.27232,3.339129,3.675901,3.347847,4.153857,3.795278,4.966285,3.163526,4.876363,3.706183,3.766818,4.099295,2.720924,4.588174,3.374185,3.089051,2.856973,3.866877,5.746048,3.979151,4.037459,3.950894,7.252609,3.654524,4.04604,6.064911,4.241889,4.208994,5.344481,3.561983,6.981511,5.651947,4.461318,3.082353,2.009323,3.761463,6.122938,4.39942,6.206565,4.840029,4.806504,2.872053,4.068535,5.109526,4.94653,4.290848,3.199401,5.577365,7.189339,4.632796,6.139505,2.963828,5.053997,3.323165,5.014325,4.472077,5.718489,3.280464,6.038112,3.55939,5.479344,4.138239,4.075155,5.929553,4.237894,4.361637,2.009323,2.832599,5.391773,5.322229,4.237016,3.18019,3.459779,5.006648,3.30687,4.007089,5.648603,2.009323,7.273865,4.88103,3.616843,8.348827,3.549951,3.975642,3.852297,3.107857,4.612758,7.171049,4.238951,3.89502,3.756747,4.177473,5.480021,5.324549,4.444312,6.266303,2.645572,4.770845,6.611584,6.815755,4.356767,4.008408,4.210372,4.312914,4.668879,4.02181,4.903988,5.190531,3.645513,3.646392,5.185097,4.203987,3.551861,3.348299,4.841352,4.18528,4.90143,3.921638,4.589979,3.523163,5.675319,3.649771,2.517654,5.494596,4.619321,4.073049,3.951712,2.956787,5.515252,3.755258,2.480393,4.591925,2.528284,3.071487,7.164816,4.183144,4.917796,3.627173,4.133456,3.699622,4.416849,5.382461,6.392101,3.579896,4.535312,5.842575,3.708743,5.523823,7.757153,4.231007,4.768982,4.263184,7.287018,4.177384,3.367673,3.135048,4.438037,3.360221,5.915106,2.483297,4.834335,3.534085,4.995067,3.909781,5.159492,4.47423,5.7484,3.22416,4.638524,4.560393,6.526741,4.449683,4.388996,5.200734,3.547283,5.858503,3.054061,3.960617,3.558707,6.339012,4.056724,5.116855,4.927654,3.248056,2.945945,4.755633,4.21348,6.29434,4.739711,3.04322,3.41716,5.527879,4.291331,5.039762,2.499445,4.59376,2.698684,5.136865,3.055595,4.037067,5.129662,3.927323,5.738738,3.440094,3.417894,4.344902,2.827106,5.018956,4.451108
ACOD1,2.807603,3.501667,1.524707,1.524707,3.26474,2.338227,2.764937,3.766092,1.524707,2.652254,3.9924,5.859607,2.403483,4.699903,4.101414,1.524707,2.365187,2.138583,5.203914,2.79796,1.524707,1.524707,1.524707,1.524707,1.524707,1.524707,1.624389,2.428152,1.624389,1.77558,1.624389,2.506826,3.703813,2.567015,1.77558,1.77558,4.193016,1.77558,1.77558,5.213261,3.887483,2.68344,2.219096,2.820383,1.77558,1.77558,2.572033,3.631822,2.170186,3.369331,2.97964,1.624389,1.624389,2.454996,3.539774,3.209441,2.562134,3.230166,1.624389,1.624389,2.163919,1.624389,2.351464,3.743837,2.149725,3.030794,1.624389,2.373543,2.466856,4.440349,3.945542,2.909639,1.543477,2.970369,2.426043,5.685465,3.515182,1.624389,4.550107,1.624389,4.312426,1.543477,1.624389,1.624389,1.543477,3.520559,3.731731,4.324599,3.181918,1.543477,1.543477,2.273833,2.407162,3.041122,3.567163,2.663413,1.543477,2.46593,1.624389,3.091943,4.069948,3.211693,2.52722,1.543477,2.416094,3.951706,2.377877,3.377887,3.012624,1.543477,3.877489,1.543477,1.543477,1.543477,4.782994,2.650967,1.543477,1.543477,2.419111,1.624389,1.543477,2.748873,1.543477,1.543477,3.12574,3.207487,1.624389,1.543477,1.624389,2.294929,3.346552,2.478724,3.3091,3.294659,3.794207,1.543477,1.624389,3.370911,1.543477,1.543477,3.511669,2.660736,2.643057,3.32609,1.624389,1.543477,2.542554,3.437383,1.624389,2.76746,2.586917,3.616896,2.603347,2.627595,3.804062,1.543477,4.677699,1.543477,3.703931,2.938792,3.508701,4.408053,1.543477,9.035111,3.713111,2.840586,3.807746,3.42066,1.543477,4.233915,2.33776,1.624389,3.368706,3.123457,1.624389,1.624389,1.624389,5.94649,2.952821,3.524401,2.963989,1.624389,4.635626,1.585238,2.869293,1.585238,1.585238,1.585238,2.408917,2.513318,1.585238,1.585238,1.585238,3.74339,2.290467,2.485051,2.626517,2.337903,1.585238,2.759394,1.585238,2.330157,5.77873,1.585238,7.620326,1.585238,3.634816,2.517968,2.403197,2.705299,1.585238,3.62659,1.585238,2.968034,1.585238,3.275032,1.585238,1.585238,2.882429,3.380057,3.991202,4.839217,3.445535,3.23098,2.185668,1.585238,1.448361,3.225733,3.462362,4.559061,3.003669,2.081952,2.207251,2.950102,1.585238,1.585238,5.226492,3.231557,2.830691,2.013806,1.585238,2.996386,1.585238,1.585238,3.42524,1.585238,1.585238,3.0217,1.585238,3.798053,3.995581,2.83732,2.712549,3.915588,2.897001,1.585238,3.666012,1.585238,5.561941,1.585238,5.005237,1.585238,3.216175,1.585238,1.585238,4.538129
OLFM4,13.399746,10.104576,5.982274,10.756175,4.735509,5.732494,2.38231,5.824505,8.175194,5.781099,2.38231,9.081209,6.111616,9.69129,4.594304,6.675833,5.076372,7.013855,4.781353,7.915149,9.708618,5.705912,8.153643,12.059082,7.191477,8.072437,8.690984,6.274306,5.864727,12.333673,3.822668,11.673555,5.241006,5.637457,7.721245,8.114458,8.559432,6.950984,4.353502,5.473563,7.382648,7.340797,10.386452,7.670321,6.379066,4.945733,6.051466,5.288294,8.277195,9.491981,4.789561,7.301065,12.104897,7.286656,5.106614,4.129377,5.53254,9.481967,4.48755,5.868886,6.097363,2.951146,5.646535,7.972961,4.964963,5.096941,3.72037,6.478455,4.151306,5.619036,8.025355,5.072657,3.517655,6.433444,6.962081,12.18509,8.716891,7.2623,9.384904,11.667176,10.167974,8.342651,4.596474,7.942434,6.446851,11.297238,5.106829,8.010793,5.530891,7.899458,9.546173,2.9568,7.188489,9.896572,7.184932,12.823063,6.835811,2.637306,5.348627,4.249396,12.006362,8.46971,6.595069,5.278943,11.63616,10.284194,7.045219,7.429662,6.649681,4.510457,5.404014,5.927708,9.206876,12.695505,4.484388,11.626067,6.198348,9.905025,10.037621,7.396046,6.268798,6.04637,5.437253,2.554657,8.056024,12.535589,4.646153,6.423514,11.017845,8.953759,5.383032,8.864056,7.414273,12.034828,4.959676,8.352553,6.182004,7.545555,7.381384,10.470674,11.243263,7.482974,6.798118,5.371786,6.611475,8.303771,3.975058,8.51793,12.107972,9.06406,8.273022,8.758243,8.494543,6.075672,9.152347,10.638587,8.576407,8.012065,3.050894,4.787101,3.212067,9.760349,3.160832,5.677159,10.34294,3.204461,4.67633,8.36808,7.177175,8.478367,2.274847,6.738562,4.1025,4.655421,8.434696,9.738879,5.744076,8.24607,4.152489,10.523388,9.08774,7.820179,7.654294,6.074271,7.641621,6.986368,5.344563,12.279584,3.983418,6.809055,8.300805,7.593212,4.759637,8.505402,6.909281,7.346073,10.804559,7.524218,5.510123,10.014294,4.680732,4.65247,9.643589,5.968804,13.522676,6.610006,5.84834,8.031225,5.843181,10.750319,3.185225,5.743246,9.227887,6.286232,2.864885,9.563794,4.510648,9.051443,10.018641,5.313289,4.042097,7.433374,10.799498,3.737327,12.922698,7.419096,9.598314,9.390532,4.954902,10.564908,3.757657,5.191651,11.891414,9.747173,5.368672,7.666494,9.539678,7.515064,5.081373,5.405611,9.496218,7.485074,4.025631,11.139857,10.196519,5.826635,7.714924,8.605816,5.986566,7.246555,7.676193,8.110106,7.038633,3.213796,10.425727,5.235652,3.466157,8.798019,7.394865,6.162764,4.097588,4.13147,12.652364,4.553746,4.648432,7.156399
MLYCD,5.95553,5.882533,5.777457,6.05619,6.223747,7.023833,6.283297,6.217441,5.350041,6.42223,6.634515,6.589488,6.52064,5.978567,6.320713,6.292718,6.126485,6.425316,6.511225,6.032698,6.672504,6.399331,6.172226,6.769614,6.275211,6.221076,6.053272,5.375821,6.266104,6.723848,6.496089,6.42799,6.515223,6.406641,6.420758,6.678959,6.270067,6.575591,6.17981,6.558805,6.196521,6.132696,5.345949,7.003293,6.037203,5.583363,6.449924,6.217173,5.875779,6.547324,6.768953,6.510198,6.546889,6.245573,6.815854,6.715463,6.949565,6.874904,7.022699,7.095022,5.949827,6.373428,5.769922,5.994246,6.04251,6.697994,6.014098,6.385026,6.740553,6.359011,6.211967,6.409959,6.608591,6.121982,6.530246,5.730923,6.158149,5.958023,5.764499,6.26508,5.90676,6.427694,6.325093,6.396839,6.287061,5.541835,6.445531,6.152428,5.969312,6.378433,6.731407,6.432199,6.328733,6.618632,5.975289,5.524211,6.624055,6.528951,6.899744,5.854032,5.856598,5.683986,6.391912,6.295832,5.924065,6.154905,6.305986,6.551442,6.347088,6.662794,6.434662,6.379299,5.959462,6.15803,6.084281,6.241804,6.642505,5.638136,6.29825,6.166852,6.734509,5.957072,6.766672,6.535455,6.400451,5.643587,6.236069,7.098014,5.574221,6.759919,6.475955,5.937596,6.632812,5.850804,7.11047,6.211603,6.928251,6.334627,6.416403,6.441314,6.2524,5.454959,6.502165,6.151991,6.686705,5.990167,6.672475,6.254338,5.76364,6.480067,6.246173,6.159326,6.381625,6.670402,6.332238,5.277409,6.109187,6.528196,5.97281,6.424863,6.343028,6.485095,6.381012,5.299288,6.0455,6.79673,6.014949,6.32856,5.939168,5.776362,6.708174,6.497586,6.442811,6.592822,6.191174,6.348839,6.634543,5.671282,6.558476,6.287718,6.087032,6.736639,5.837553,6.355398,5.766101,6.199102,6.804716,6.558187,6.744803,6.212665,6.271896,6.730205,6.512843,6.545201,6.385977,6.346737,6.035386,6.189803,5.324605,5.420452,6.445743,6.704951,5.823107,6.595063,5.84512,6.297312,6.607805,5.778245,6.120656,7.150588,6.914286,6.570553,6.719986,6.712378,6.705512,6.313442,6.302455,6.408491,5.905508,6.116011,6.097777,6.691593,5.94205,6.558421,5.877364,6.394745,6.421767,6.260051,6.634782,6.27472,5.965824,6.641623,6.206965,5.66166,6.691268,5.65626,5.749387,6.215175,6.199894,6.147924,6.791406,6.495314,6.773817,6.760648,6.377407,6.453819,6.558071,6.673822,6.242095,5.839502,5.445026,6.103031,5.743655,5.997444,5.994684,6.307336,6.177797,5.93294,5.212958,6.185466,6.480029,6.345503,6.641683,6.60257,6.632446,6.197381
ABCB6,3.465346,3.628172,1.877217,3.253987,3.011465,3.280411,2.982199,4.407848,3.359575,3.999005,3.797979,4.29839,1.877217,1.877217,3.160759,1.877217,2.917668,3.17111,3.712688,3.012648,2.988837,3.301718,1.877217,3.296095,3.493126,3.65905,2.100647,2.770074,3.106617,2.637107,1.276476,3.257769,3.162027,3.714824,3.103506,4.305369,2.659356,3.515802,3.437469,3.516886,3.239221,3.29156,2.787678,2.664637,3.424675,3.200644,3.006548,1.534824,2.968585,3.631318,3.477594,2.978047,2.751156,3.265906,2.847169,3.004459,3.082689,3.261812,2.404658,3.589301,2.950958,3.308543,3.136901,3.266233,2.657468,3.209157,3.023782,2.899943,3.357763,3.396241,3.148317,2.485012,3.69645,2.922787,2.648388,5.444836,3.168936,3.380378,2.785399,4.705031,3.029272,1.839075,3.330719,2.870242,3.627848,2.995858,3.268066,2.608111,4.19044,3.841771,3.583543,2.973409,3.262951,3.702218,2.654306,1.839075,2.733122,2.865749,1.276476,2.514455,4.002014,2.557164,3.449103,1.839075,3.526779,4.708514,1.839075,3.363714,2.464854,3.763069,3.040184,2.825971,3.25394,3.359286,3.244946,2.854643,2.36605,4.324599,3.670198,1.276476,2.956631,2.944423,1.839075,1.839075,2.892474,2.949755,3.437749,3.255823,2.712226,3.649,3.236596,3.273282,2.815997,3.57693,1.839075,3.452043,3.465617,2.470617,2.748979,3.938827,3.821913,3.530692,3.506067,1.839075,4.073927,3.21351,3.108373,3.899335,3.859348,3.121893,3.755001,3.639258,4.369554,2.657714,3.912031,6.732816,2.663576,3.993732,3.058358,3.212058,3.122981,3.281594,2.967296,3.433806,3.564077,3.34089,3.341697,3.700281,3.853499,3.080381,2.855386,4.481954,3.284862,2.635779,2.184189,3.592744,3.047261,4.575965,3.109242,3.333937,3.276341,3.306136,3.058705,3.579603,1.872881,4.382308,1.872881,4.411905,3.661613,3.264236,3.998404,1.872881,1.872881,3.429738,3.162863,3.223476,2.803217,4.184098,2.940843,3.145255,3.21304,3.421643,3.598108,4.139883,1.872881,4.518018,2.957611,1.872881,3.104714,1.872881,2.812721,1.872881,1.872881,2.850108,3.491952,3.704027,3.042761,3.486066,1.872881,3.207492,3.614285,4.271624,2.843263,1.872881,3.604128,3.157052,4.161608,3.40439,3.171989,1.872881,3.711022,3.149762,3.016745,2.94483,3.234264,1.872881,3.940827,2.647194,3.222516,3.214382,3.526556,3.254587,1.872881,3.357901,4.118991,3.919011,3.75448,3.429503,2.843458,2.770251,3.419635,3.2297,3.547705,3.466342,3.595033,3.353297,3.375893,3.88235,4.826047,3.703243,3.863024,1.872881,2.942185,3.846334,3.382062,3.586948
ADPRS,7.094819,7.389658,6.235766,6.922127,7.208173,6.749301,6.739466,7.484046,7.266238,7.802683,7.198832,8.004701,7.628338,7.595697,7.824395,7.152424,7.368537,7.143404,8.006029,7.469398,7.73802,7.001817,6.887599,5.912384,7.478733,7.121622,7.180638,6.46878,7.009499,7.366903,7.613321,7.298044,7.698021,7.009597,7.752602,7.299198,7.455485,7.865382,6.769116,8.530836,7.721231,6.657008,6.440993,7.668108,6.756314,6.798544,7.20862,7.288908,6.958713,7.762044,8.014554,7.346014,6.855251,7.161952,7.689048,7.429211,7.899151,7.9409,8.472274,7.931261,7.205343,7.030307,6.815528,7.096744,6.438633,7.575149,6.569882,7.038855,7.524286,7.474694,7.217354,6.915162,7.465968,7.526009,7.103407,6.971356,7.348752,7.307819,7.308057,7.218676,7.436154,6.880798,6.70316,7.419576,7.754712,6.991823,7.655822,6.553853,6.499527,6.993501,7.198114,6.93578,6.987957,7.428322,7.07872,6.419752,6.660799,7.446431,7.695709,6.402837,7.032903,7.269944,6.992981,6.623135,6.743083,6.86143,7.335313,6.769797,7.205384,7.058465,6.787216,7.488508,6.78058,7.066564,7.475299,7.193039,7.323463,7.004423,6.993924,7.380823,7.34223,7.631265,6.762076,6.83714,7.124119,7.645518,7.379381,7.022831,7.275314,7.166877,7.310949,7.160451,7.481621,6.321472,7.960751,6.614634,8.148532,7.310761,6.920168,7.028645,7.25021,8.513613,8.487293,8.758598,7.725904,7.393822,7.090233,8.771822,7.340474,7.102297,7.173477,6.880271,6.839264,7.935843,6.956575,6.333858,6.704278,7.931434,8.563145,6.762293,7.086846,7.928146,6.822848,7.234767,6.988406,7.510501,7.29827,8.165462,7.949505,7.666058,7.264634,7.158715,7.189502,7.683508,7.318198,8.162108,7.72601,6.708442,7.271694,7.733554,6.817235,8.182859,8.903247,7.232593,8.518095,7.411832,6.716559,7.155445,6.823133,7.749661,7.412895,6.774973,6.027458,6.859944,6.744803,7.332135,6.619353,6.914428,7.075211,8.209575,7.868698,7.242482,7.204003,6.823987,6.626781,6.296143,8.862655,7.154045,7.54565,7.569915,7.215318,8.361806,7.06891,8.041634,7.42284,7.097915,7.387076,6.736416,7.20161,7.69263,7.318726,7.752629,7.235163,6.784998,7.054394,7.214659,7.349981,7.365909,7.687631,7.256183,6.905996,7.163818,7.571209,7.238244,7.37344,6.530533,6.76098,7.723141,6.873276,6.938399,7.04764,7.222984,6.954133,7.427782,7.595753,7.418329,7.62764,7.750318,6.924564,7.355038,7.554105,6.946986,7.072822,8.719849,6.42904,7.27237,8.019219,6.26203,6.463693,6.161369,7.464564,6.940351,6.99333,7.095982,7.325673,7.637559
G0S2,4.222712,6.271628,6.302726,8.489183,5.669704,1.787544,3.393075,7.460902,7.199172,5.147451,5.96637,7.991771,4.866111,5.83793,7.884444,5.912349,5.764786,3.80834,5.212227,5.955986,4.319064,3.994635,3.492323,4.450763,5.309984,4.292312,4.207341,3.60277,4.092341,5.309109,4.479972,5.224293,5.906395,4.81372,4.219252,5.084616,6.475304,6.354068,3.313193,7.817009,7.775386,3.710167,4.299392,4.807752,4.703176,3.537887,7.599595,6.118276,5.052703,4.877479,5.82598,3.16447,4.360959,6.408799,6.062867,5.414862,4.540428,4.353848,5.563826,6.778215,3.676456,2.770594,4.125281,5.232647,3.472281,4.706842,4.457159,4.325391,4.674173,6.869536,6.457094,5.227754,6.600845,5.474559,4.7886,8.987096,5.260571,7.232621,6.2877,5.170152,6.974849,5.709558,3.156834,4.465093,6.418277,5.800279,6.266004,5.853607,5.994948,4.59076,5.216511,4.630209,4.088424,3.570284,7.572332,8.484072,4.909888,5.325019,3.664438,6.829278,5.305006,7.204211,3.808631,5.325104,7.584407,5.299494,2.74808,4.755209,3.037958,5.790248,4.66003,5.247419,6.523069,7.500517,6.160046,6.047838,4.727028,10.943502,4.436916,6.203534,4.039578,5.412988,5.128858,5.372247,6.226457,8.186134,3.569773,5.805669,7.016762,5.50523,6.628552,9.22903,4.561864,4.781631,1.647954,5.570356,4.246345,5.038254,4.490493,4.124222,8.355874,3.977508,3.867671,5.23495,5.793433,3.921608,6.286346,5.113909,6.583806,5.927776,4.512629,6.733659,4.258819,3.757283,4.606242,7.255459,6.297389,3.443499,5.657827,4.382805,5.847741,4.623792,3.093688,8.547173,4.543927,3.970613,5.799099,7.101007,7.6845,6.409669,4.734439,6.781624,5.118102,4.058237,5.670797,5.043344,6.641416,10.926871,4.935523,4.637817,8.815103,7.943009,4.701619,6.792315,3.652882,5.454456,4.527206,5.15427,4.383689,4.176222,5.281156,2.200704,5.489113,5.028352,4.884285,5.137309,4.532375,6.298769,3.738781,3.528594,5.664389,5.613206,8.823701,6.831183,10.991237,2.200704,4.694858,4.550547,7.021762,4.409171,4.854749,6.640161,5.291428,5.474499,5.470691,5.257935,4.965626,4.209993,7.593725,4.100621,5.494,6.088301,7.654201,2.200704,7.545617,6.346578,4.040931,4.811826,4.989982,7.696903,4.575966,4.207658,4.749874,5.495531,3.621486,6.188238,8.942066,5.043815,5.876705,5.610104,6.197703,4.52618,4.797417,4.971845,6.141074,3.995049,6.973282,6.64706,4.977781,5.725976,5.696312,4.322406,5.864554,6.142377,7.507147,6.359053,5.753775,6.694992,9.405243,2.200704,6.444693,3.095884,5.935007,4.713404,5.673463,6.155282
