LibraryName;SampleName
GSM5609183;sepwes072
GSM5609184;sepwes073
GSM5609185;sepwes074
GSM5609186;sepwes076
GSM5609187;sepwes077
GSM5609188;sepwes080
GSM5609189;sepwes082
GSM5609190;sepwes083
GSM5609191;sepwes084
GSM5609192;sepwes086
GSM5609193;sepwes087
GSM5609194;sepwes089
GSM5609195;sepwes090
GSM5609196;sepwes091
GSM5609197;sepwes092
GSM5609198;sepwes095
GSM5609199;sepwes096
GSM5609200;sepwes097
GSM5609201;sepwes098
GSM5609202;sepwes099
GSM5609203;sepwes101
GSM5609204;sepwes102
GSM5609205;sepwes103
GSM5609206;sepwes104
GSM5609207;sepwes105
GSM5609208;sepwes106
GSM5609209;sepwes110
GSM5609210;sepwes111
GSM5609211;sepwes112
GSM5609212;hccol001
GSM5609213;hccol002
GSM5609214;hccol003
GSM5609215;hccol004
GSM5609216;hccol005
GSM5609217;hccol006
GSM5609218;hchlD072
GSM5609219;hchlD149
GSM5609220;hchlD188
GSM5609221;hchlD201
GSM5609222;hcwes025
GSM5609223;hcwes027
GSM5609224;hcwes036
GSM5609225;hcwes037
GSM5609226;hcwes038
GSM5609227;hcwes039
GSM5609228;hcwes040
GSM5609229;hcwes050
GSM5609230;hcwes051
GSM5609231;hcwes054
GSM5609232;hcwes055
GSM5609233;hcwes056
GSM5609234;hcwes058
GSM5609235;hcwes059
GSM5609236;hcwes060
GSM5609237;hcwes062
GSM5609238;hcwes063
GSM5609239;hcwes064
GSM5609240;hcwes066
GSM5609241;hcwes067
GSM5609242;hcwes072
GSM5609243;hcwes074
GSM5609244;hcwes075
GSM5609245;hcwes078
GSM5609246;hcwimr093
GSM5609247;hcwimr094
GSM5609248;hcwimr095
GSM5609249;hcwimr096
GSM5609250;hcwimr097
GSM5609251;sepcv001T1
GSM5609252;sepcv002T0
GSM5609253;sepcv003T0
GSM5609254;sepcv004T0
GSM5609255;sepcv005T0
GSM5609256;sepcv006T0
GSM5609257;sepcv007T1
GSM5609258;sepcv008T1
GSM5609259;sepcv009T1
GSM5609260;sepcv010T0
GSM5609261;sepcv011T0
GSM5609262;sepcv012T1
GSM5609263;sepcv013T1
GSM5609264;sepcv015T1
GSM5609265;sepcv016T1
GSM5609266;sepcv017T0
GSM5609267;sepcv018T1
GSM5609268;sepcv019T0
GSM5609269;sepcv020T0
GSM5609270;sepcv021T0
GSM5609271;sepcv022T0
GSM5609272;sepcv023T1
GSM5609273;sepcv024T1
GSM5609274;sepcv026T0
GSM5609275;sepcv027T0
GSM5609276;sepcv028T1
GSM5609277;sepcv029T1
GSM5609278;sepcv030T1
GSM5609279;sepcv031T1
GSM5609280;sepcv032T1
GSM5609281;sepcv033T1
GSM5609282;sepcv034T1
GSM5609283;sepcv036T0
GSM5609284;sepcv037T0
GSM5609285;sepcv039T1
GSM5609286;sepcv040T1
GSM5609287;sepcv041T2
GSM5609288;sepcv042T0
GSM5609289;sepcv043T1
GSM5609290;sepcv044T0
GSM5609291;sepcv045T1
GSM5609292;sepcv047T1
GSM5609293;sepcv048T1
GSM5609294;sepcv049T1
GSM5609295;sepcv050T1
GSM5609296;sepcv051T1
GSM5609297;sepcv052T1
GSM5609298;sepcv053T1
GSM5609299;sepcv054T1
GSM5609300;sepcv055T1
GSM5609301;sepcv056T1
GSM5609302;sepcv057T1
GSM5609303;sepcv058T1
GSM5609304;sepcv059T1
GSM5609305;sepcv060T1
GSM5609306;sepcv061T1
GSM5609307;sepcv062T1
GSM5609308;sepcv063T1
GSM5609309;sepcv065T0
GSM5609310;sepcv066T1
GSM5609311;sepcv067T1
GSM5609312;sepcv068T1a
GSM5609313;sepcv069T1
GSM5609314;sepcv070T1
GSM5609315;sepcv071T1
GSM5609316;sepcv072T1
GSM5609317;sepcv073T1
GSM5609318;sepcv074T1
GSM5609319;sepcv075T1
GSM5609320;sepcv076T1
GSM5609321;sepcv077T1
GSM5609322;sepcv078T1
GSM5609323;sepcv079T1
GSM5609324;sepcv080T1
GSM5609325;sepcv082T1
GSM5609326;sepcv083T0
GSM5609327;sepcv084T0
GSM5609328;sepcv085T1
GSM5609329;sepcv086T1
GSM5609330;sepcv087T1
GSM5609331;sepcv702W1
GSM5609332;sepcv703W1
GSM5609333;hchlD044
GSM5609334;hchlD187
GSM5609335;hchlD204
GSM5609336;hchlD218
GSM5609337;hchlD219
