gene,sepcol001,sepcol002,sepcol003,sepcol004,sepcol005,sepcol006,sepcol007,sepcol008,sepcol009,sepcol010,sepcol012,sepcol014,sepcol015,sepcol016,sepcol017,sepcol018,sepcol019,sepcol020,sepcol021,sepcol022,sepcol024,sepcol025,sepcol026,sepcol027,sepcol028,sepcol032,sepcol034,sepcol040,sepcol044,sepcol045,sepcol046,sepcol049,sepcol050,sepcol055,sepcol056,sepcol058,sepcol059,sepcol060,sepcol061,sepcol062,sepcol063,sepcol064,sepcol065,sepcol067,sepcol069,sepcol070,sepcol071,sepcol073,sepcol075,sepcol077,sepcol082,sepcol086,sepcol087,sepcol089,sepcol091,sepcol092,sepcol093,sepcol094,sepcol096,sepcol097,sepcol103,sepcol104,sepcol105,sepcol106,sepcol108,sepcol109,sepcol110,sepnet0186,sepnet0344,sepnet0375,sepnet0537,sepnet0738,sepnet0904,sepnet1051,sepnet1093,sepnet1094,sepnet1140,sepnet1169,sepnet1170,sepnet1179a,sepnet1182,sepnet1183,sepnet1185,sepnet1191,sepnet1195,sepnet1196,sepnet1199,sepnet1201,sepnet1204,sepnet1205,sepnet1206,sepnet1209,sepnet1214a,sepnet1220,sepnet1221,sepnet1222,sepnet1230,sepnet1243,sepnet1244,sepnet1245,sepnet1251,sepnet1266,sepnet1267,sepnet1282,sepnet1283,sepnet1286,sepnet1287,sepnet1304,sepnet1310,sepnet1315,sepnet1317,sepnet1319,sepnet1323,sepnet1326,sepnet1329,sepnet1330,sepnet1331,sepnet1332,sepnet1335,sepnet1340,sepnet1344,sepnet1345,sepnet1347,sepnet1351,sepnet1355,sepnet1356,sepnet1359,sepnet1361,sepnet1362,sepnet1370,sepnet1375,sepnet1377,sepnet1378,sepnet1381,sepnet1385,sepnet1405,sepnet1406,sepnet1407,sepnet1409,sepnet1411,sepnet1413,sepnet1415,sepnet1416,sepnet1422,sepnet1425,sepnet1426,sepnet1440,sepnet1443,sepnet1447,sepnet1453,sepnet1493,sepnet155a,sepnet9001,sepnet9002,sepnet9003,sepnet9004,sepnet9005,sepnet9006,sepnet9007,sepnet9008,sepnet9009,sepnet9010,sepnet9011,sepnet9012,sepnet9013,sepnet9014,sepnet9015,sepnet9016,sepnet9017,sepnet9018,sepnet9019,sepvh006,sepvh019,sepvh024,sepvh029,sepvh033,sepvh037,sepvh040,sepvh043,sepvh044,sepvh047,sepvh050,sepwes003,sepwes006,sepwes007,sepwes008,sepwes009,sepwes010,sepwes011,sepwes012,sepwes013,sepwes014,sepwes015,sepwes016,sepwes017,sepwes018,sepwes019,sepwes020,sepwes021,sepwes023,sepwes024,sepwes025,sepwes026,sepwes027,sepwes029,sepwes030,sepwes031,sepwes032,sepwes033,sepwes034,sepwes036,sepwes038,sepwes039,sepwes040,sepwes041,sepwes043,sepwes044,sepwes046,sepwes047,sepwes049,sepwes051,sepwes052,sepwes056,sepwes058,sepwes059,sepwes060,sepwes061,sepwes062,sepwes063,sepwes064,sepwes065,sepwes066,sepwes067,sepwes068,sepwes069,sepwes070,sepwes071,sepwes072,sepwes073,sepwes074,sepwes076,sepwes077,sepwes080,sepwes082,sepwes083,sepwes084,sepwes086,sepwes087,sepwes089,sepwes090,sepwes091,sepwes092,sepwes095,sepwes096,sepwes097,sepwes098,sepwes099,sepwes101,sepwes102,sepwes103,sepwes104,sepwes105,sepwes106,sepwes110,sepwes111,sepwes112,sepcv001T1,sepcv002T0,sepcv003T0,sepcv004T0,sepcv005T0,sepcv006T0,sepcv007T1,sepcv008T1,sepcv009T1,sepcv010T0,sepcv011T0,sepcv012T1,sepcv013T1,sepcv015T1,sepcv016T1,sepcv017T0,sepcv018T1,sepcv019T0,sepcv020T0,sepcv021T0,sepcv022T0,sepcv023T1,sepcv024T1,sepcv026T0,sepcv027T0,sepcv028T1,sepcv029T1,sepcv030T1,sepcv031T1,sepcv032T1,sepcv033T1,sepcv034T1,sepcv036T0,sepcv037T0,sepcv039T1,sepcv040T1,sepcv041T2,sepcv042T0,sepcv043T1,sepcv044T0,sepcv045T1,sepcv047T1,sepcv048T1,sepcv049T1,sepcv050T1,sepcv051T1,sepcv052T1,sepcv053T1,sepcv054T1,sepcv055T1,sepcv056T1,sepcv057T1,sepcv058T1,sepcv059T1,sepcv060T1,sepcv061T1,sepcv062T1,sepcv063T1,sepcv065T0,sepcv066T1,sepcv067T1,sepcv068T1a,sepcv069T1,sepcv070T1,sepcv071T1,sepcv072T1,sepcv073T1,sepcv074T1,sepcv075T1,sepcv076T1,sepcv077T1,sepcv078T1,sepcv079T1,sepcv080T1,sepcv082T1,sepcv083T0,sepcv084T0,sepcv085T1,sepcv086T1,sepcv087T1,sepcv702W1,sepcv703W1
CHDH,4.441764,3.741524,1.670709,3.868656,2.985242,2.837857,2.784906,1.670709,3.388682,2.831548,3.287736,3.180999,3.78318,1.670709,1.670709,2.879779,2.876536,3.170262,1.670709,2.986613,1.670709,2.856097,2.920245,1.670709,3.020985,3.16551,2.447189,3.180047,3.614772,4.274998,2.38923,4.262248,1.544922,1.786972,2.995657,2.426367,2.071751,2.49132,2.365866,2.746981,3.146746,4.035698,3.304202,2.907712,2.795157,3.096859,2.161995,2.411977,4.044932,3.620503,3.527921,3.093543,3.354998,3.722862,3.051412,2.680108,3.114229,3.460561,3.59059,2.590886,3.609803,3.081467,3.306339,2.654963,2.97604,2.548052,3.297957,3.593251,3.049228,1.544922,3.402932,2.893556,1.758191,1.758191,2.993076,1.544922,2.62283,1.544922,1.758191,1.544922,2.369065,1.758191,3.198083,2.922785,3.126274,1.544922,2.25115,2.593826,1.544922,1.758191,3.255493,2.59955,3.055384,1.758191,2.782329,4.39953,3.12004,1.758191,3.924494,2.788237,3.467933,2.660294,2.568115,3.645025,4.205696,3.832335,3.097678,1.758191,3.093221,2.92308,2.810594,2.646054,2.820104,3.148013,3.223921,3.034003,3.198066,1.758191,4.058547,1.544922,3.945563,1.758191,1.758191,1.758191,2.707496,2.760659,1.544922,1.758191,2.355372,3.764937,3.117402,3.25437,2.636864,4.702822,1.758191,1.758191,1.544922,3.105056,3.342279,3.046345,3.425651,1.758191,3.690698,3.258766,2.603635,3.484832,2.909113,3.082728,3.52466,3.168201,2.876583,2.987248,1.758191,1.758191,3.369606,5.568478,2.639049,1.758191,1.758191,2.91873,3.13748,3.347625,2.870462,2.810002,3.190635,2.992905,2.956224,2.785779,1.758191,1.758191,3.867628,1.544922,1.544922,3.424,2.538647,3.001229,3.709373,2.50636,2.490866,4.400151,1.544922,3.561338,1.851298,3.008461,1.851298,3.259277,5.195817,4.43562,2.854492,1.851298,3.324106,3.899143,1.851298,3.236069,3.050025,2.634908,3.214679,1.851298,1.851298,3.281353,3.357538,1.851298,1.851298,1.851298,4.851014,1.851298,1.851298,2.98731,1.851298,1.851298,2.606006,3.7011,3.689768,2.636669,1.851298,3.171664,1.851298,1.851298,3.431203,3.561589,1.851298,3.392181,3.362226,1.851298,3.427412,1.851298,4.738943,3.572602,2.063862,3.770647,1.851298,2.456267,3.745245,3.513625,2.76032,1.851298,1.851298,1.851298,2.752052,3.433737,3.448808,1.851298,3.611957,3.061192,3.223049,3.26293,3.676814,2.994854,3.362517,1.851298,3.113954,1.851298,4.500285,3.42375,3.146593,2.844718,2.063862,1.851298,1.851298,1.851298,3.567525,3.192454,3.837687,2.699572,2.733606,2.931386,2.355869,1.391851,3.01501,2.753114,3.626881,2.974822,2.830882,2.814762,6.094494,2.353086,3.051847,2.665271,2.22919,4.347959,2.615169,1.391851,2.199355,3.576107,2.440991,2.338637,2.579845,5.279947,2.527858,2.130839,4.857249,3.74785,1.840169,2.929011,3.492294,2.974368,2.620828,2.837335,3.637365,3.681472,2.239223,3.7443,3.360521,2.949854,2.691848,1.925037,2.486286,2.520637,2.167266,2.647621,3.279557,1.391851,3.153032,3.569166,3.677307,3.089318,2.338755,2.220629,2.098611,2.394652,2.94994,3.366307,2.57759,3.393907,2.781356,2.428852,2.124859,2.939984,2.406985,2.411784,2.720274,7.38538,2.16536,1.391851,1.963915,2.216053,3.786358,2.658126,2.961943,2.0761,2.4498,2.313999,2.532627,2.711884,3.591877,1.94838,2.788431,2.20591
SLC44A1,9.404911,9.265274,8.699725,8.311754,8.402774,9.095698,7.873161,8.73577,7.555601,8.123814,7.891562,8.55657,8.126943,8.267349,8.59205,7.877968,7.147645,8.003071,7.382395,8.53095,9.266323,7.752205,8.035918,8.118409,8.193369,8.375605,8.175236,9.913899,9.323745,7.687847,7.70922,8.490555,7.637988,7.964332,7.62542,7.394053,9.140826,8.184499,8.348887,8.040048,8.233708,9.070579,9.852219,7.835415,9.422676,8.37871,7.791175,7.794105,9.232867,7.69819,7.46309,8.104739,8.429643,8.804013,7.498692,7.202995,7.143486,6.927169,7.209887,7.462928,9.01095,9.163697,9.623994,8.107791,9.044636,7.660686,8.870647,9.004044,7.600039,7.602706,7.709187,8.15719,7.317564,8.161748,7.778921,9.215533,8.326842,8.518057,9.168447,7.809019,8.753803,7.509861,8.86584,8.28944,6.979277,8.541591,8.188739,8.22851,8.787821,7.329126,8.926208,7.910499,7.921774,8.39463,7.897797,9.267177,8.183474,7.798184,7.79763,8.694384,8.491486,8.808082,8.580935,8.886217,8.465257,8.155265,8.474408,8.948258,8.364347,7.984808,8.171423,7.945154,8.777483,8.200293,8.246746,8.57221,7.7716,8.539138,8.259143,7.543812,8.262577,7.78148,8.146737,7.17272,8.421671,8.018792,7.687042,7.614457,9.092224,7.560929,7.652236,8.351981,8.536317,8.873469,8.843863,9.042654,7.820596,8.228539,7.99654,8.256102,7.318164,7.635833,7.586194,8.40903,7.772147,8.645233,8.426929,8.480393,8.503183,8.543776,7.834657,7.861691,8.536834,8.589672,9.148442,9.83848,8.840079,8.438737,9.184301,8.613437,8.243796,8.189201,8.486501,9.107165,8.410999,7.172121,8.365653,9.329736,8.119948,7.065707,7.959121,8.012447,8.368924,7.911729,8.952566,8.979093,8.248829,8.062022,8.17307,9.163433,7.969451,7.792771,9.172324,8.740094,8.805129,7.804664,7.197494,9.176468,8.458548,8.033674,8.774676,8.129005,8.618854,8.393124,8.602007,8.011673,8.734962,8.842018,8.478985,8.382149,7.566042,7.883864,9.451567,8.613704,9.70017,7.812487,7.107444,8.352761,8.341319,8.493324,7.61951,8.430483,7.507436,7.818592,8.442166,8.138554,7.4425,8.469593,8.77655,7.521672,7.799379,7.71505,8.335685,7.497949,9.766275,9.778531,8.798754,7.464801,6.9955,8.258993,8.073214,8.060578,8.392784,7.664472,7.776978,8.573103,8.012429,8.266432,7.802688,8.657527,7.211661,7.920962,8.045391,8.925455,7.282513,8.605023,9.009518,8.366307,8.713417,8.136508,8.853493,8.454699,8.478418,8.97859,8.731988,8.427635,7.957899,8.661368,8.641443,8.864185,8.316429,7.967403,7.9251,7.562472,8.02274,8.091206,9.147962,7.546038,8.940358,10.281674,9.216203,8.970244,8.71201,8.231309,7.845416,7.670921,7.711349,9.482883,8.177406,8.380468,8.616573,8.365299,9.285743,8.841859,8.82428,8.220708,8.443599,9.21962,7.954863,8.004812,7.290368,9.313481,8.392827,8.568899,7.523135,8.054809,7.55371,8.383176,8.033776,8.064939,7.925863,9.428112,8.2392,8.476517,7.921307,8.159019,7.378411,8.677926,8.196191,8.129077,8.92711,8.351613,8.469798,8.58749,9.734694,7.867782,7.757689,7.431632,7.24324,8.167068,8.204212,8.67375,7.599837,8.181327,8.424967,7.782712,8.09085,8.299225,7.926452,8.168777,8.10887,6.696651,8.751228,7.828586,8.239804,8.848935,7.95559,8.986254,7.98971,8.276601,7.735848,7.904791,7.476032,8.412166,9.143749,8.301474,7.738543,7.903951
ARG2,3.566476,5.483071,5.335442,4.599661,4.172287,5.762558,3.632542,5.384816,4.333244,4.202432,4.805597,5.347999,2.799743,8.02564,4.029151,1.786926,4.404837,4.822936,3.974333,4.174446,1.786926,3.610847,4.22125,3.497964,4.530561,5.029497,3.708352,4.730956,4.254205,6.19766,3.253276,3.492477,3.403517,4.783141,3.630061,4.813039,3.853092,3.650217,4.410281,3.977683,3.686194,4.819329,5.126603,4.126227,3.613713,4.595792,4.376678,3.79336,4.42267,4.494853,3.907524,3.648603,4.377715,3.655513,3.82419,3.182162,3.437396,4.27232,3.339129,3.675901,3.347847,4.153857,3.795278,4.966285,3.163526,4.876363,3.706183,3.766818,4.099295,2.720924,4.588174,3.374185,3.089051,2.856973,3.866877,5.746048,3.979151,4.037459,3.950894,7.252609,3.654524,4.04604,6.064911,4.241889,4.208994,5.344481,3.561983,6.981511,5.651947,4.461318,3.082353,2.009323,3.761463,6.122938,4.39942,6.206565,4.840029,4.806504,2.872053,4.068535,5.109526,4.94653,4.290848,3.199401,5.577365,7.189339,4.632796,6.139505,2.963828,5.053997,3.323165,5.014325,4.472077,5.718489,3.280464,6.038112,3.55939,5.479344,4.138239,4.075155,5.929553,4.237894,4.361637,2.009323,2.832599,5.391773,5.322229,4.237016,3.18019,3.459779,5.006648,3.30687,4.007089,5.648603,2.009323,7.273865,4.88103,3.616843,8.348827,3.549951,3.975642,3.852297,3.107857,4.612758,7.171049,4.238951,3.89502,3.756747,4.177473,5.480021,5.324549,4.444312,6.266303,2.645572,4.770845,6.611584,6.815755,4.356767,4.008408,4.210372,4.312914,4.668879,4.02181,4.903988,5.190531,3.645513,3.646392,5.185097,4.203987,3.551861,3.348299,4.841352,4.18528,4.90143,3.921638,4.589979,3.523163,5.675319,3.649771,2.517654,5.494596,4.619321,4.073049,3.951712,2.956787,5.515252,3.755258,2.480393,4.591925,2.528284,3.071487,7.164816,4.183144,4.917796,3.627173,4.133456,3.699622,4.416849,5.382461,6.392101,3.579896,4.535312,5.842575,3.708743,5.523823,7.757153,4.231007,4.768982,4.263184,7.287018,4.177384,3.367673,3.135048,4.438037,3.360221,5.915106,2.483297,4.834335,3.534085,4.995067,3.909781,5.159492,4.47423,5.7484,3.22416,4.638524,4.560393,6.526741,4.449683,4.388996,5.200734,3.547283,5.858503,3.054061,3.960617,3.558707,6.339012,4.056724,5.116855,4.927654,3.248056,2.945945,4.755633,4.21348,6.29434,4.739711,3.04322,3.41716,5.527879,4.291331,5.039762,2.499445,4.59376,2.698684,5.136865,3.055595,4.037067,5.129662,3.927323,5.738738,3.440094,3.417894,4.344902,2.827106,5.018956,4.451108,5.378991,4.976074,4.197065,3.444082,6.629215,3.919456,5.593903,7.688089,4.941692,4.37977,4.090889,3.336441,3.168064,3.945808,3.539584,6.479563,5.381455,4.897004,4.118042,4.667362,3.572452,3.798368,4.173887,3.266938,4.031831,3.448865,4.231898,4.62358,4.443257,7.167947,3.305209,5.074656,5.170958,2.589048,3.107965,6.55742,3.363051,8.316974,3.171723,3.49511,4.180569,3.976329,3.066219,4.731489,5.233873,3.678172,5.754611,4.888417,4.400712,3.365929,3.715011,3.438153,2.736437,3.513993,4.849594,4.000143,3.240526,4.616245,9.904855,5.386831,5.189218,4.396821,4.66662,5.369806,2.857952,3.912669,2.688006,5.881288,3.465342,4.61893,5.521201,4.716269,4.203922,4.179626,2.93319,2.743043,3.504196,3.726124,4.722787,3.172935,3.586831,4.192818
ACOD1,2.807603,3.501667,1.524707,1.524707,3.26474,2.338227,2.764937,3.766092,1.524707,2.652254,3.9924,5.859607,2.403483,4.699903,4.101414,1.524707,2.365187,2.138583,5.203914,2.79796,1.524707,1.524707,1.524707,1.524707,1.524707,1.524707,1.624389,2.428152,1.624389,1.77558,1.624389,2.506826,3.703813,2.567015,1.77558,1.77558,4.193016,1.77558,1.77558,5.213261,3.887483,2.68344,2.219096,2.820383,1.77558,1.77558,2.572033,3.631822,2.170186,3.369331,2.97964,1.624389,1.624389,2.454996,3.539774,3.209441,2.562134,3.230166,1.624389,1.624389,2.163919,1.624389,2.351464,3.743837,2.149725,3.030794,1.624389,2.373543,2.466856,4.440349,3.945542,2.909639,1.543477,2.970369,2.426043,5.685465,3.515182,1.624389,4.550107,1.624389,4.312426,1.543477,1.624389,1.624389,1.543477,3.520559,3.731731,4.324599,3.181918,1.543477,1.543477,2.273833,2.407162,3.041122,3.567163,2.663413,1.543477,2.46593,1.624389,3.091943,4.069948,3.211693,2.52722,1.543477,2.416094,3.951706,2.377877,3.377887,3.012624,1.543477,3.877489,1.543477,1.543477,1.543477,4.782994,2.650967,1.543477,1.543477,2.419111,1.624389,1.543477,2.748873,1.543477,1.543477,3.12574,3.207487,1.624389,1.543477,1.624389,2.294929,3.346552,2.478724,3.3091,3.294659,3.794207,1.543477,1.624389,3.370911,1.543477,1.543477,3.511669,2.660736,2.643057,3.32609,1.624389,1.543477,2.542554,3.437383,1.624389,2.76746,2.586917,3.616896,2.603347,2.627595,3.804062,1.543477,4.677699,1.543477,3.703931,2.938792,3.508701,4.408053,1.543477,9.035111,3.713111,2.840586,3.807746,3.42066,1.543477,4.233915,2.33776,1.624389,3.368706,3.123457,1.624389,1.624389,1.624389,5.94649,2.952821,3.524401,2.963989,1.624389,4.635626,1.585238,2.869293,1.585238,1.585238,1.585238,2.408917,2.513318,1.585238,1.585238,1.585238,3.74339,2.290467,2.485051,2.626517,2.337903,1.585238,2.759394,1.585238,2.330157,5.77873,1.585238,7.620326,1.585238,3.634816,2.517968,2.403197,2.705299,1.585238,3.62659,1.585238,2.968034,1.585238,3.275032,1.585238,1.585238,2.882429,3.380057,3.991202,4.839217,3.445535,3.23098,2.185668,1.585238,1.448361,3.225733,3.462362,4.559061,3.003669,2.081952,2.207251,2.950102,1.585238,1.585238,5.226492,3.231557,2.830691,2.013806,1.585238,2.996386,1.585238,1.585238,3.42524,1.585238,1.585238,3.0217,1.585238,3.798053,3.995581,2.83732,2.712549,3.915588,2.897001,1.585238,3.666012,1.585238,5.561941,1.585238,5.005237,1.585238,3.216175,1.585238,1.585238,4.538129,5.274714,1.708292,1.708292,1.708292,1.708292,4.360051,5.943667,1.708292,2.637508,3.559501,2.510679,1.708292,1.708292,2.597084,3.084459,2.673418,2.966533,1.708292,2.343256,1.708292,1.708292,1.708292,2.982764,1.708292,2.892025,3.127169,3.497313,1.708292,3.399954,1.708292,1.708292,4.264648,7.990339,1.708292,2.793715,1.708292,1.708292,1.708292,2.346689,2.539095,3.825371,2.748553,2.570059,1.708292,3.244997,1.708292,2.755494,2.668937,1.708292,3.886018,3.060816,2.363691,1.708292,2.627893,3.690543,1.708292,2.5616,1.708292,2.719878,1.708292,2.522197,2.846778,2.843182,3.41682,2.589555,1.708292,2.567905,2.728105,1.708292,2.459512,3.842046,3.134774,3.40077,3.00555,3.147027,2.307067,2.456962,5.466399,1.708292,1.708292,2.321025,3.470319
OLFM4,13.399746,10.104576,5.982274,10.756175,4.735509,5.732494,2.38231,5.824505,8.175194,5.781099,2.38231,9.081209,6.111616,9.69129,4.594304,6.675833,5.076372,7.013855,4.781353,7.915149,9.708618,5.705912,8.153643,12.059082,7.191477,8.072437,8.690984,6.274306,5.864727,12.333673,3.822668,11.673555,5.241006,5.637457,7.721245,8.114458,8.559432,6.950984,4.353502,5.473563,7.382648,7.340797,10.386452,7.670321,6.379066,4.945733,6.051466,5.288294,8.277195,9.491981,4.789561,7.301065,12.104897,7.286656,5.106614,4.129377,5.53254,9.481967,4.48755,5.868886,6.097363,2.951146,5.646535,7.972961,4.964963,5.096941,3.72037,6.478455,4.151306,5.619036,8.025355,5.072657,3.517655,6.433444,6.962081,12.18509,8.716891,7.2623,9.384904,11.667176,10.167974,8.342651,4.596474,7.942434,6.446851,11.297238,5.106829,8.010793,5.530891,7.899458,9.546173,2.9568,7.188489,9.896572,7.184932,12.823063,6.835811,2.637306,5.348627,4.249396,12.006362,8.46971,6.595069,5.278943,11.63616,10.284194,7.045219,7.429662,6.649681,4.510457,5.404014,5.927708,9.206876,12.695505,4.484388,11.626067,6.198348,9.905025,10.037621,7.396046,6.268798,6.04637,5.437253,2.554657,8.056024,12.535589,4.646153,6.423514,11.017845,8.953759,5.383032,8.864056,7.414273,12.034828,4.959676,8.352553,6.182004,7.545555,7.381384,10.470674,11.243263,7.482974,6.798118,5.371786,6.611475,8.303771,3.975058,8.51793,12.107972,9.06406,8.273022,8.758243,8.494543,6.075672,9.152347,10.638587,8.576407,8.012065,3.050894,4.787101,3.212067,9.760349,3.160832,5.677159,10.34294,3.204461,4.67633,8.36808,7.177175,8.478367,2.274847,6.738562,4.1025,4.655421,8.434696,9.738879,5.744076,8.24607,4.152489,10.523388,9.08774,7.820179,7.654294,6.074271,7.641621,6.986368,5.344563,12.279584,3.983418,6.809055,8.300805,7.593212,4.759637,8.505402,6.909281,7.346073,10.804559,7.524218,5.510123,10.014294,4.680732,4.65247,9.643589,5.968804,13.522676,6.610006,5.84834,8.031225,5.843181,10.750319,3.185225,5.743246,9.227887,6.286232,2.864885,9.563794,4.510648,9.051443,10.018641,5.313289,4.042097,7.433374,10.799498,3.737327,12.922698,7.419096,9.598314,9.390532,4.954902,10.564908,3.757657,5.191651,11.891414,9.747173,5.368672,7.666494,9.539678,7.515064,5.081373,5.405611,9.496218,7.485074,4.025631,11.139857,10.196519,5.826635,7.714924,8.605816,5.986566,7.246555,7.676193,8.110106,7.038633,3.213796,10.425727,5.235652,3.466157,8.798019,7.394865,6.162764,4.097588,4.13147,12.652364,4.553746,4.648432,7.156399,6.160027,6.666223,10.094731,5.824875,9.511479,7.564093,5.037349,10.662289,11.728973,3.811621,6.172038,10.912192,8.594559,11.238583,6.061362,7.530423,7.032067,10.231148,4.961488,5.80679,9.878107,14.497591,6.6033,3.803801,12.544543,11.184041,6.305695,11.055077,7.855464,7.511948,3.32054,9.775777,8.996185,7.151991,4.875826,10.105679,8.513314,7.793019,2.586355,2.836293,4.204603,5.169487,8.331113,5.121807,10.145334,5.01492,10.947475,7.181533,11.739925,9.1198,4.100112,2.912923,5.880888,9.448202,9.834487,11.263547,6.355226,11.610678,7.000326,5.954972,3.239445,5.128015,6.480425,5.132423,4.081894,5.786812,7.976576,8.161402,5.450002,6.069717,6.791649,10.376113,8.55032,4.130074,3.7353,7.108079,2.497093,7.362143,9.646971,5.152577,5.722082,5.316738
MLYCD,5.95553,5.882533,5.777457,6.05619,6.223747,7.023833,6.283297,6.217441,5.350041,6.42223,6.634515,6.589488,6.52064,5.978567,6.320713,6.292718,6.126485,6.425316,6.511225,6.032698,6.672504,6.399331,6.172226,6.769614,6.275211,6.221076,6.053272,5.375821,6.266104,6.723848,6.496089,6.42799,6.515223,6.406641,6.420758,6.678959,6.270067,6.575591,6.17981,6.558805,6.196521,6.132696,5.345949,7.003293,6.037203,5.583363,6.449924,6.217173,5.875779,6.547324,6.768953,6.510198,6.546889,6.245573,6.815854,6.715463,6.949565,6.874904,7.022699,7.095022,5.949827,6.373428,5.769922,5.994246,6.04251,6.697994,6.014098,6.385026,6.740553,6.359011,6.211967,6.409959,6.608591,6.121982,6.530246,5.730923,6.158149,5.958023,5.764499,6.26508,5.90676,6.427694,6.325093,6.396839,6.287061,5.541835,6.445531,6.152428,5.969312,6.378433,6.731407,6.432199,6.328733,6.618632,5.975289,5.524211,6.624055,6.528951,6.899744,5.854032,5.856598,5.683986,6.391912,6.295832,5.924065,6.154905,6.305986,6.551442,6.347088,6.662794,6.434662,6.379299,5.959462,6.15803,6.084281,6.241804,6.642505,5.638136,6.29825,6.166852,6.734509,5.957072,6.766672,6.535455,6.400451,5.643587,6.236069,7.098014,5.574221,6.759919,6.475955,5.937596,6.632812,5.850804,7.11047,6.211603,6.928251,6.334627,6.416403,6.441314,6.2524,5.454959,6.502165,6.151991,6.686705,5.990167,6.672475,6.254338,5.76364,6.480067,6.246173,6.159326,6.381625,6.670402,6.332238,5.277409,6.109187,6.528196,5.97281,6.424863,6.343028,6.485095,6.381012,5.299288,6.0455,6.79673,6.014949,6.32856,5.939168,5.776362,6.708174,6.497586,6.442811,6.592822,6.191174,6.348839,6.634543,5.671282,6.558476,6.287718,6.087032,6.736639,5.837553,6.355398,5.766101,6.199102,6.804716,6.558187,6.744803,6.212665,6.271896,6.730205,6.512843,6.545201,6.385977,6.346737,6.035386,6.189803,5.324605,5.420452,6.445743,6.704951,5.823107,6.595063,5.84512,6.297312,6.607805,5.778245,6.120656,7.150588,6.914286,6.570553,6.719986,6.712378,6.705512,6.313442,6.302455,6.408491,5.905508,6.116011,6.097777,6.691593,5.94205,6.558421,5.877364,6.394745,6.421767,6.260051,6.634782,6.27472,5.965824,6.641623,6.206965,5.66166,6.691268,5.65626,5.749387,6.215175,6.199894,6.147924,6.791406,6.495314,6.773817,6.760648,6.377407,6.453819,6.558071,6.673822,6.242095,5.839502,5.445026,6.103031,5.743655,5.997444,5.994684,6.307336,6.177797,5.93294,5.212958,6.185466,6.480029,6.345503,6.641683,6.60257,6.632446,6.197381,6.050551,6.523135,5.835444,5.918827,6.532173,6.428823,6.045165,5.944818,5.798531,6.72072,6.378376,5.741121,6.019243,5.873037,6.074342,6.078305,6.440252,5.28038,6.282049,6.23758,6.425431,5.669631,6.170681,6.791235,5.200088,6.402163,6.190365,6.093678,6.452295,5.564572,6.577839,5.882168,5.51831,6.381198,6.631189,6.256051,6.399761,6.309163,6.848952,6.834114,6.923656,6.266166,6.555809,6.642488,6.31669,6.836839,6.359031,6.20708,5.759972,6.395932,6.460827,6.798862,6.463251,6.41563,6.679548,6.223094,5.781771,5.927814,5.231052,6.219307,6.205284,6.408758,6.674135,6.491199,6.201452,6.371651,6.175093,6.355755,6.922745,6.468788,6.974953,6.284267,6.54352,6.400157,6.112238,6.484388,6.840697,6.893793,5.831976,5.806983,6.924219,6.67673
