"","outcome","low_exp","sample","norm"
"164",19359,"9","2","TRUE"
"165",18598,"9","3","FALSE"
"166",18598,"9","3","TRUE"
"167",18148,"9","4","FALSE"
"168",18148,"9","4","TRUE"
"169",17792,"9","5","FALSE"
"170",17792,"9","5","TRUE"
"171",17518,"9","6","FALSE"
"172",17518,"9","6","TRUE"
"173",17278,"9","7","FALSE"
"174",17278,"9","7","TRUE"
"175",17087,"9","8","FALSE"
"176",17087,"9","8","TRUE"
"177",16922,"9","9","FALSE"
"178",16922,"9","9","TRUE"
"179",16780,"9","10","FALSE"
"180",16780,"9","10","TRUE"
"181",20827,"10","1","FALSE"
"182",20827,"10","1","TRUE"
"183",18932,"10","2","FALSE"
"184",18932,"10","2","TRUE"
"185",18226,"10","3","FALSE"
"186",18226,"10","3","TRUE"
"187",17752,"10","4","FALSE"
"188",17752,"10","4","TRUE"
"189",17392,"10","5","FALSE"
"190",17392,"10","5","TRUE"
"191",17120,"10","6","FALSE"
"192",17120,"10","6","TRUE"
"193",16929,"10","7","FALSE"
"194",16929,"10","7","TRUE"
"195",16752,"10","8","FALSE"
"196",16752,"10","8","TRUE"
"197",16595,"10","9","FALSE"
"198",16595,"10","9","TRUE"
"199",16464,"10","10","FALSE"
"200",16464,"10","10","TRUE"
"201",20382,"11","1","FALSE"
"202",20382,"11","1","TRUE"
"203",18561,"11","2","FALSE"
"204",18561,"11","2","TRUE"
"205",17835,"11","3","FALSE"
"206",17835,"11","3","TRUE"
"207",17370,"11","4","FALSE"
"208",17370,"11","4","TRUE"
"209",17041,"11","5","FALSE"
"210",17041,"11","5","TRUE"
"211",16796,"11","6","FALSE"
"212",16796,"11","6","TRUE"
"213",16585,"11","7","FALSE"
"214",16585,"11","7","TRUE"
"215",16421,"11","8","FALSE"
"216",16421,"11","8","TRUE"
"217",16281,"11","9","FALSE"
"218",16281,"11","9","TRUE"
"219",16152,"11","10","FALSE"
"220",16152,"11","10","TRUE"
"221",20012,"12","1","FALSE"
"222",20012,"12","1","TRUE"
"223",18221,"12","2","FALSE"
"224",18221,"12","2","TRUE"
"225",17528,"12","3","FALSE"
"226",17528,"12","3","TRUE"
"227",17082,"12","4","FALSE"
"228",17082,"12","4","TRUE"
"229",16737,"12","5","FALSE"
"230",16737,"12","5","TRUE"
"231",16501,"12","6","FALSE"
"232",16501,"12","6","TRUE"
"233",16312,"12","7","FALSE"
"234",16312,"12","7","TRUE"
"235",16152,"12","8","FALSE"
"236",16152,"12","8","TRUE"
"237",16014,"12","9","FALSE"
"238",16014,"12","9","TRUE"
"239",15885,"12","10","FALSE"
"240",15885,"12","10","TRUE"
"241",19545,"13","1","FALSE"
"242",19545,"13","1","TRUE"
"243",17856,"13","2","FALSE"
"244",17856,"13","2","TRUE"
"245",17168,"13","3","FALSE"
"246",17168,"13","3","TRUE"
"247",16726,"13","4","FALSE"
"248",16726,"13","4","TRUE"
"249",16437,"13","5","FALSE"
"250",16437,"13","5","TRUE"
"251",16221,"13","6","FALSE"
"252",16221,"13","6","TRUE"
"253",16047,"13","7","FALSE"
"254",16047,"13","7","TRUE"
"255",15910,"13","8","FALSE"
"256",15910,"13","8","TRUE"
"257",15762,"13","9","FALSE"
"258",15762,"13","9","TRUE"
"259",15639,"13","10","FALSE"
"260",15639,"13","10","TRUE"
"261",19228,"14","1","FALSE"
"262",19228,"14","1","TRUE"
"263",17542,"14","2","FALSE"
"264",17542,"14","2","TRUE"
"265",16890,"14","3","FALSE"
"266",16890,"14","3","TRUE"
"267",16463,"14","4","FALSE"
"268",16463,"14","4","TRUE"
"269",16186,"14","5","FALSE"
"270",16186,"14","5","TRUE"
"271",15991,"14","6","FALSE"
"272",15991,"14","6","TRUE"
"273",15830,"14","7","FALSE"
"274",15830,"14","7","TRUE"
"275",15679,"14","8","FALSE"
"276",15679,"14","8","TRUE"
"277",15542,"14","9","FALSE"
"278",15542,"14","9","TRUE"
"279",15431,"14","10","FALSE"
"280",15431,"14","10","TRUE"
"281",18957,"15","1","FALSE"
"282",18957,"15","1","TRUE"
"283",17298,"15","2","FALSE"
"284",17298,"15","2","TRUE"
"285",16663,"15","3","FALSE"
"286",16663,"15","3","TRUE"
"287",16249,"15","4","FALSE"
"288",16249,"15","4","TRUE"
"289",15979,"15","5","FALSE"
"290",15979,"15","5","TRUE"
"291",15784,"15","6","FALSE"
"292",15784,"15","6","TRUE"
"293",15631,"15","7","FALSE"
"294",15631,"15","7","TRUE"
"295",15480,"15","8","FALSE"
"296",15480,"15","8","TRUE"
"297",15369,"15","9","FALSE"
"298",15369,"15","9","TRUE"
"299",15238,"15","10","FALSE"
"300",15238,"15","10","TRUE"
